date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Apr26_2021-00,login4,38,269.34,149,15.8,42,423,0m0.004s,0m2.387s,680
Apr26_2021-01,login4,34,268.71,134,16.7,72,871,0m0.004s,0m2.375s,680
Apr26_2021-02,login4,33,268.71,132,11.1,69,361,0m0.004s,0m2.345s,680
Apr26_2021-03,login4,31,268.44,128,16.7,65,346,0m0.004s,0m2.360s,680
Apr26_2021-04,login4,30,268.25,129,15.8,61,322,0m0.004s,0m2.354s,680
Apr26_2021-05,login4,30,268.21,128,16.7,63,326,0m0.004s,0m2.373s,680
Apr26_2021-06,login4,30,268.26,128,15.8,63,312,0m0.004s,0m2.339s,680
Apr26_2021-07,login4,30,267.92,128,16.7,67,321,0m0.004s,0m2.372s,679
Apr26_2021-08,login4,34,270.41,139,27.8,74,387,0m0.004s,0m2.429s,895
Apr26_2021-09,login4,43,278.98,169,116.7,84,1048,0m0.004s,0m2.378s,895
Apr26_2021-10,login4,49,281.57,186,157.9,122,539,0m0.004s,0m2.483s,895
Apr26_2021-11,login4,60,290.89,216,21.1,117,956,0m0.005s,0m2.363s,893
Apr26_2021-12,login4,60,296.75,228,52.8,112,659,0m0.004s,0m2.402s,895
Apr26_2021-13,login4,64,299.35,227,21.1,110,879,0m0.004s,0m2.384s,895
Apr26_2021-14,login4,67,316.65,242,40.0,211,815,0m0.004s,0m2.359s,811
Apr26_2021-15,login4,70,321.67,252,52.6,144,1391,0m0.004s,2m0.866s,813
Apr26_2021-16,login4,77,333.87,282,35.0,136,810,0m0.004s,0m3.287s,812
Apr26_2021-17,login4,70,336.81,285,131.7,127,802,0m0.004s,0m2.437s,813
Apr26_2021-18,login4,75,340.01,289,252.7,119,1199,0m0.004s,0m2.383s,814
Apr26_2021-19,login4,72,343.36,270,242.2,126,708,0m0.004s,0m2.370s,814
Apr26_2021-20,login4,63,346.4,242,105.3,142,1071,0m0.004s,0m2.505s,815
Apr26_2021-21,login4,56,343.76,230,210.5,114,1008,0m0.004s,0m2.397s,814
Apr26_2021-22,login4,49,339.53,201,44.4,114,687,0m0.004s,0m2.372s,810
Apr26_2021-23,login4,49,339.36,201,10.5,120,658,0m0.004s,0m2.363s,810
Apr17_2021-00,login4,60,482.69,724,71.4,51,969,0m0.005s,0m2.375s,901
Apr17_2021-01,login4,57,484.63,740,480.8,54,1070,0m0.005s,0m2.477s,901
Apr17_2021-02,login4,52,484.63,726,509.4,45,1073,0m0.005s,0m2.429s,901
Apr17_2021-03,login4,48,484.02,712,418.9,119,1062,0m0.005s,0m2.407s,902
Apr17_2021-04,login4,49,481.03,694,42.8,98,1052,0m0.005s,0m2.447s,901
Apr17_2021-05,login4,49,481.05,694,30.0,70,1028,0m0.005s,0m2.602s,901
Apr17_2021-06,login4,48,481.0,690,25.0,67,983,0m0.005s,0m2.397s,901
Apr17_2021-07,login4,48,480.82,691,30.0,121,998,0m0.005s,0m2.409s,902
Apr17_2021-08,login4,49,480.88,693,25.0,120,976,0m0.005s,0m2.389s,903
Apr17_2021-09,login4,48,480.89,700,30.0,126,900,0m0.005s,0m2.404s,903
Apr17_2021-10,login4,51,481.39,709,33.4,121,865,0m0.005s,0m2.391s,903
Apr17_2021-11,login4,54,482.22,721,40.0,120,831,0m0.005s,0m2.399s,903
Apr17_2021-12,login4,57,482.89,720,40.0,153,890,0m0.005s,0m2.372s,902
Apr17_2021-13,login4,59,483.46,722,25.0,194,842,0m0.005s,0m2.386s,902
Apr17_2021-14,login4,60,485.78,732,33.3,147,925,0m0.005s,0m2.391s,901
Apr17_2021-15,login4,56,485.3,720,36.3,116,678,0m0.005s,0m2.403s,902
Apr17_2021-16,login4,56,477.32,724,23.8,101,621,0m0.005s,0m2.414s,899
Apr17_2021-17,login4,59,477.99,727,28.6,93,584,0m0.005s,0m2.386s,898
Apr17_2021-18,login4,58,480.22,729,23.8,91,584,0m0.005s,0m2.395s,896
Apr17_2021-19,login4,58,479.94,727,43.0,117,737,0m0.005s,0m2.391s,898
Apr17_2021-20,login4,58,481.6,726,40.0,127,831,0m0.005s,0m2.380s,898
Apr17_2021-21,login4,57,481.87,730,55.0,117,842,0m0.005s,0m2.395s,899
Apr17_2021-22,login4,57,484.89,741,147.7,113,834,0m0.005s,0m2.385s,899
Apr17_2021-23,login4,58,484.56,727,35.0,125,848,0m0.005s,0m2.400s,899
Apr21_2021-09,login4,30,82.69,94,10.5,38,713,0m0.003s,0m2.369s,888
Apr21_2021-10,login4,34,89.52,106,157.9,47,746,0m0.005s,0m2.393s,645
Apr21_2021-11,login4,38,93.84,248,572.2,59,889,0m0.003s,0m2.427s,577
Apr21_2021-12,login4,54,104.98,263,1690.0,70,942,0m0.007s,0m3.730s,577
Apr21_2021-13,login4,53,106.7,226,910.5,81,1219,0m0.006s,0m2.619s,578
Apr21_2021-14,login4,49,100.09,195,110.5,51,1236,0m0.004s,0m2.504s,578
Apr21_2021-15,login4,57,109.9,217,315.7,72,1271,0m0.004s,0m2.879s,523
Apr21_2021-16,login4,66,124.71,255,820.8,95,1238,0m0.004s,0m2.394s,531
Apr21_2021-17,login4,61,116.53,207,110.5,82,1356,0m0.004s,0m2.368s,531
Apr21_2021-18,login4,54,114.88,183,15.8,91,1375,0m0.004s,0m2.377s,532
Apr21_2021-19,login4,52,114.88,179,127.8,68,1276,0m0.004s,0m2.367s,532
Apr21_2021-20,login4,48,116.56,164,21.1,107,1388,0m0.004s,0m2.357s,616
Apr21_2021-21,login4,44,116.36,163,15.8,98,1822,0m0.004s,0m2.367s,615
Apr21_2021-22,login4,43,119.77,168,416.7,80,1300,0m0.004s,0m2.340s,616
Apr21_2021-23,login4,39,119.63,145,116.7,106,1220,0m0.004s,0m2.398s,616
Apr01_2021-00,login2,69,471.84,590,695.2,105,1079,0m0.005s,0m2.432s,892
Apr01_2021-01,login2,66,475.17,526,75.0,129,1027,0m0.004s,0m2.384s,894
Apr01_2021-02,login2,64,473.78,518,80.0,81,1021,0m0.005s,0m2.348s,893
Apr01_2021-03,login2,62,473.75,522,75.0,137,954,0m0.005s,0m2.372s,893
Apr01_2021-04,login2,63,476.49,498,25.0,105,899,0m0.004s,0m2.405s,893
Apr01_2021-05,login2,61,474.61,495,15.0,83,881,0m0.005s,0m2.365s,893
Apr01_2021-06,login2,56,473.81,494,65.0,70,804,0m0.004s,0m2.417s,893
Apr01_2021-07,login2,56,473.7,483,30.0,94,813,0m0.005s,2m27.980s,893
Apr01_2021-08,login2,59,474.71,492,25.0,67,737,0m0.005s,0m2.374s,893
Apr01_2021-09,login2,63,473.91,501,30.0,85,838,0m0.005s,0m2.465s,893
Apr01_2021-10,login2,74,483.28,531,23.8,91,965,0m0.005s,0m2.380s,893
Apr01_2021-11,login2,80,485.66,542,120.0,97,955,0m0.011s,0m2.501s,894
Apr01_2021-12,login2,86,488.94,564,38.2,104,948,0m0.005s,0m2.494s,894
Apr01_2021-13,login2,90,382.82,580,257.1,75,943,0m0.005s,0m4.139s,894
Apr01_2021-14,login2,84,382.93,570,357.2,40,931,0m0.006s,0m3.142s,895
Apr01_2021-15,login2,84,388.55,637,1309.5,70,894,0m0.005s,0m4.599s,895
Apr01_2021-16,login2,87,390.34,583,128.5,86,933,0m0.005s,0m2.719s,896
Apr01_2021-17,login2,88,388.35,581,30.0,88,983,0m0.004s,0m2.378s,896
Apr01_2021-18,login2,86,388.51,580,23.8,84,959,0m0.004s,0m2.359s,895
Apr01_2021-19,login2,82,388.36,571,30.0,64,937,0m0.006s,0m2.662s,895
Apr01_2021-20,login2,79,388.01,559,50.0,79,955,0m0.005s,0m2.380s,896
Apr01_2021-21,login2,76,389.55,550,35.0,145,981,0m0.004s,0m2.614s,897
Apr01_2021-22,login2,74,390.63,547,25.0,109,951,0m0.004s,0m2.377s,896
Apr01_2021-23,login2,75,391.65,572,205.0,87,1017,0m0.004s,0m2.422s,897
Apr28_2021-00,login5,9,287.63,156,74.1,115,558,0m0.004s,0m4.029s,521
Apr28_2021-01,login5,9,287.64,155,42.3,112,538,0m0.004s,0m2.399s,521
Apr28_2021-02,login5,8,287.43,151,83.6,96,550,0m0.004s,0m2.391s,521
Apr28_2021-03,login5,7,287.24,149,78.1,92,527,0m0.004s,0m2.373s,521
Apr28_2021-04,login5,7,287.25,149,72.6,89,499,0m0.004s,0m2.556s,522
Apr28_2021-05,login5,7,287.28,151,68.7,82,481,0m0.004s,0m2.399s,522
Apr28_2021-06,login5,7,287.25,149,66.9,81,456,0m0.004s,0m2.378s,523
Apr28_2021-07,login5,7,287.18,149,72.5,79,443,0m0.004s,0m2.370s,523
Apr28_2021-08,login5,7,287.63,155,42.3,75,462,0m0.004s,0m2.383s,891
Apr28_2021-09,login5,7,287.74,155,52.9,59,499,0m0.004s,0m2.365s,890
Apr28_2021-10,login5,11,288.85,166,73.8,91,621,0m0.004s,0m2.367s,891
Apr28_2021-11,login5,13,288.85,177,66.9,105,625,0m0.004s,0m2.349s,892
