date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Aug05_2021-00,login3,52,392.33,515,255.0,113,1351,0m0.004s,0m24.120s,902
Aug05_2021-01,login3,49,397.79,490,285.0,111,1325,0m0.005s,0m24.015s,902
Aug05_2021-02,login3,45,402.95,481,260.0,129,1409,0m0.005s,0m23.798s,903
Aug05_2021-03,login3,44,402.67,480,84.3,97,1405,0m0.005s,0m23.781s,904
Aug05_2021-04,login3,42,402.56,477,90.0,93,1401,0m0.004s,0m24.569s,904
Aug05_2021-05,login3,42,404.06,493,60.0,88,1373,0m0.004s,0m24.739s,904
Aug05_2021-06,login3,45,405.08,497,225.0,50,1101,0m0.005s,0m24.073s,904
Aug05_2021-07,login3,45,405.96,497,242.3,27,796,0m0.004s,0m24.004s,904
Aug05_2021-08,login3,45,406.2,473,95.0,23,821,0m0.004s,0m23.851s,904
Aug05_2021-09,login3,54,424.78,493,85.0,27,857,0m0.004s,0m23.970s,903
Aug05_2021-10,login3,59,427.22,502,80.0,65,979,0m0.004s,0m23.978s,904
Aug05_2021-11,login3,66,429.12,513,80.0,68,1050,0m0.004s,0m23.751s,903
Aug05_2021-12,login3,78,432.1,495,130.0,71,1044,0m0.004s,0m23.827s,903
Aug05_2021-13,login3,79,436.83,522,220.0,78,1013,0m0.004s,0m23.998s,903
Aug05_2021-14,login3,76,441.54,524,1436.3,84,1075,0m0.007s,0m26.539s,904
Aug05_2021-15,login3,79,441.99,439,242.9,85,1209,0m0.005s,0m24.500s,904
Aug05_2021-16,login3,71,446.17,451,1204.5,94,1142,0m0.006s,0m24.781s,903
Aug05_2021-17,login3,70,450.44,400,25.0,99,1196,0m0.004s,0m24.012s,903
Aug05_2021-18,login3,70,463.63,432,865.0,98,1206,0m0.004s,0m24.118s,903
Aug05_2021-19,login3,62,454.74,411,790.0,88,1176,0m0.005s,0m24.757s,904
Aug05_2021-20,login3,58,450.61,357,47.5,89,1012,0m0.004s,0m23.927s,906
Aug05_2021-21,login3,56,449.98,355,80.0,96,1050,0m0.004s,0m23.953s,905
Aug05_2021-22,login3,58,454.62,367,40.0,131,1181,0m0.005s,0m24.376s,905
