date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Dec05_2021-00,login1,34,487.7,271,31.6,50,1274,0m0.003s,0m3.958s,938
Dec05_2021-01,login1,34,487.54,271,26.4,52,1293,0m0.003s,0m3.969s,938
Dec05_2021-02,login1,34,487.45,271,25.0,43,1279,0m0.003s,0m4.250s,939
Dec05_2021-03,login1,33,486.99,268,26.4,42,1252,0m0.003s,0m3.942s,939
Dec05_2021-04,login1,33,486.83,267,26.4,40,1269,0m0.003s,0m4.000s,939
Dec05_2021-05,login1,33,486.83,267,25.0,44,1230,0m0.003s,0m4.086s,939
Dec05_2021-06,login1,33,485.23,263,26.3,44,1237,0m0.003s,0m3.953s,939
Dec05_2021-07,login1,33,482.67,263,26.3,48,1211,0m0.003s,0m3.929s,939
Dec05_2021-08,login1,33,482.68,263,26.3,62,1179,0m0.003s,0m3.926s,939
Dec05_2021-09,login1,33,482.67,263,15.8,60,1162,0m0.003s,0m4.006s,940
Dec05_2021-10,login1,34,483.02,267,15.8,74,1122,0m0.003s,0m3.948s,939
Dec05_2021-11,login1,37,484.68,288,115.8,97,1202,0m0.003s,0m4.055s,939
Dec05_2021-12,login1,37,484.55,279,15.8,123,1195,0m0.003s,0m3.915s,939
Dec05_2021-13,login1,39,485.28,290,22.2,89,1222,0m0.003s,0m4.018s,939
Dec05_2021-14,login1,40,485.44,293,15.8,57,1169,0m0.003s,0m3.920s,939
Dec05_2021-15,login1,41,485.76,300,21.1,65,1256,0m0.003s,0m3.926s,940
Dec05_2021-16,login1,43,486.3,312,20.0,106,1335,0m0.003s,0m3.930s,940
Dec05_2021-17,login1,43,485.12,312,15.8,51,1297,0m0.003s,0m3.954s,940
Dec05_2021-18,login1,41,484.9,304,21.1,57,1236,0m0.003s,0m4.002s,940
Dec05_2021-19,login1,44,488.59,320,121.1,66,1233,0m0.003s,0m3.945s,939
Dec05_2021-20,login1,44,485.41,310,15.8,70,1202,0m0.003s,0m3.951s,940
Dec05_2021-21,login1,44,485.51,315,21.1,60,1284,0m0.003s,0m3.945s,941
Dec05_2021-22,login1,54,488.97,380,21.1,37,1241,0m0.003s,0m3.935s,941
Dec05_2021-23,login1,54,489.06,379,21.1,37,1172,0m0.003s,0m3.943s,941
Dec14_2021-00,login5,45,492.84,471,31.6,46,1383,0m0.003s,0m3.969s,952
Dec14_2021-01,login5,39,491.5,440,26.3,46,1236,0m0.003s,0m3.958s,952
Dec14_2021-02,login5,40,491.69,442,42.1,73,1190,0m0.003s,0m4.033s,953
Dec14_2021-03,login5,39,491.33,440,25.0,82,1159,0m0.003s,0m4.233s,953
Dec14_2021-04,login5,38,490.99,436,20.0,53,1197,0m0.003s,0m4.327s,953
Dec14_2021-05,login5,40,492.66,456,30.0,67,1133,0m0.003s,0m3.954s,953
Dec14_2021-06,login5,39,501.75,451,25.0,74,1107,0m0.003s,0m4.018s,953
Dec14_2021-07,login5,38,503.17,464,90.0,4,1056,0m0.003s,0m3.988s,954
Dec27_2021-00,login1,31,328.5,244,26.3,75,1122,0m0.003s,0m3.982s,945
Dec27_2021-01,login1,27,320.49,219,27.8,78,1094,0m0.003s,0m3.927s,946
Dec27_2021-02,login1,27,320.49,220,21.1,84,1067,0m0.003s,0m3.936s,945
Dec27_2021-03,login1,26,320.07,211,22.2,81,1022,0m0.003s,0m4.034s,945
Dec27_2021-04,login1,26,320.71,211,27.8,80,1038,0m0.003s,0m3.909s,945
Dec27_2021-05,login1,26,320.71,211,21.1,85,1007,0m0.003s,0m3.926s,945
Dec27_2021-06,login1,26,320.71,211,22.2,64,981,0m0.003s,0m3.914s,945
Dec27_2021-07,login1,28,322.1,226,21.1,55,1011,0m0.003s,0m4.042s,945
Dec27_2021-08,login1,29,322.74,230,22.2,52,1090,0m0.003s,0m3.922s,945
Dec27_2021-09,login1,31,322.79,231,11.1,54,1087,0m0.003s,0m4.024s,946
Dec27_2021-10,login1,32,323.94,237,21.1,57,1102,0m0.003s,0m3.917s,946
Dec27_2021-11,login1,31,325.03,238,10.5,61,1130,0m0.003s,0m3.957s,946
Dec27_2021-12,login1,31,328.06,250,152.6,63,1121,0m0.003s,0m3.932s,947
Dec27_2021-13,login1,33,334.24,256,110.5,71,1152,0m0.003s,0m3.971s,947
Dec27_2021-14,login1,38,330.93,269,10.5,68,1278,0m0.003s,0m3.938s,947
Dec27_2021-15,login1,39,331.38,271,21.1,77,1427,0m0.003s,0m3.902s,947
Dec27_2021-16,login1,36,330.3,258,15.8,72,1509,0m0.003s,0m3.931s,948
Dec27_2021-17,login1,40,331.75,276,25.0,73,1543,0m0.003s,0m3.958s,948
Dec27_2021-18,login1,39,331.73,275,21.1,98,1461,0m0.003s,0m3.963s,948
Dec27_2021-19,login1,38,331.44,268,25.0,76,1459,0m0.003s,0m4.027s,948
Dec27_2021-20,login1,35,331.13,254,15.8,71,1384,0m0.003s,0m4.014s,947
Dec27_2021-21,login1,32,330.12,248,15.8,60,1447,0m0.003s,0m4.109s,947
Dec27_2021-22,login1,31,329.85,247,16.7,65,1380,0m0.003s,0m4.029s,947
Dec27_2021-23,login1,30,329.81,245,22.2,79,1461,0m0.003s,0m4.399s,948
Dec19_2021-00,login4,32,151.06,213,21.1,62,1262,0m0.003s,0m3.948s,942
Dec19_2021-01,login4,33,151.31,220,16.7,68,1303,0m0.003s,0m3.921s,940
Dec19_2021-02,login4,31,150.84,208,16.7,57,1268,0m0.003s,0m3.927s,940
Dec19_2021-03,login4,29,150.19,198,26.3,57,1219,0m0.003s,0m3.928s,940
Dec19_2021-04,login4,28,141.62,185,15.8,54,1215,0m0.003s,0m3.912s,941
Dec19_2021-05,login4,28,141.62,185,22.2,50,1234,0m0.003s,0m3.910s,941
Dec19_2021-06,login4,27,141.35,180,10.5,47,1212,0m0.003s,0m3.914s,941
Dec19_2021-07,login4,26,141.04,176,22.2,47,1206,0m0.003s,0m3.914s,940
Dec19_2021-08,login4,27,142.7,184,55.6,40,1179,0m0.003s,0m3.938s,940
Dec19_2021-09,login4,25,141.99,174,26.3,54,1183,0m0.003s,0m3.899s,940
Dec19_2021-10,login4,25,142.01,174,50.0,63,1191,0m0.003s,0m3.921s,941
Dec19_2021-11,login4,29,144.01,199,42.2,58,1155,0m0.003s,0m4.021s,941
Dec19_2021-12,login4,28,148.61,223,215.8,60,1175,0m0.003s,0m3.941s,941
Dec19_2021-13,login4,28,152.64,215,389.3,66,1151,0m0.003s,0m3.912s,941
Dec19_2021-14,login4,26,150.05,180,21.1,71,1202,0m0.003s,0m3.949s,940
Dec19_2021-15,login4,26,150.18,186,11.1,67,1185,0m0.003s,0m3.934s,940
Dec19_2021-16,login4,29,152.07,202,26.3,117,1268,0m0.003s,0m3.996s,941
Dec19_2021-17,login4,32,153.94,213,16.7,104,1408,0m0.003s,0m3.940s,941
Dec19_2021-18,login4,33,154.61,227,21.0,69,1555,0m0.003s,0m3.930s,941
Dec19_2021-19,login4,33,154.84,231,16.7,47,1305,0m0.003s,0m3.956s,943
Dec19_2021-20,login4,32,154.09,220,15.8,72,1257,0m0.003s,0m4.347s,943
Dec19_2021-21,login4,30,153.67,214,15.8,73,1222,0m0.003s,0m3.924s,942
Dec19_2021-22,login4,32,155.43,235,26.4,76,1223,0m0.003s,0m3.949s,942
Dec19_2021-23,login4,32,160.31,246,438.9,72,1293,0m0.003s,0m3.980s,942
Dec21_2021-00,login3,28,273.26,297,73.8,70,1577,0m0.003s,0m3.948s,946
Dec21_2021-01,login3,27,273.13,293,68.5,59,1517,0m0.003s,0m3.982s,946
Dec21_2021-02,login3,27,272.24,274,84.3,55,1401,0m0.003s,0m4.006s,946
Dec21_2021-03,login3,29,272.97,242,33.3,73,1476,0m0.003s,0m4.112s,946
Dec21_2021-04,login3,27,307.27,231,26.3,85,1572,0m0.003s,0m3.964s,946
Dec21_2021-05,login3,25,307.69,224,10.5,71,1550,0m0.003s,0m3.938s,946
Dec21_2021-06,login3,28,308.48,237,16.7,55,1446,0m0.003s,0m3.987s,946
Dec21_2021-07,login3,27,308.19,232,22.2,71,1400,0m0.003s,0m4.137s,945
Dec21_2021-08,login3,28,310.41,242,37.0,92,1427,0m0.003s,0m4.102s,945
Dec21_2021-09,login3,30,312.24,246,68.4,98,1477,0m0.003s,0m3.931s,945
Dec21_2021-10,login3,30,312.97,243,121.0,91,1513,0m0.003s,0m4.037s,946
Dec21_2021-11,login3,36,319.31,297,1735.0,89,1583,0m0.003s,0m4.490s,945
Dec21_2021-12,login3,35,318.75,280,710.5,89,1575,0m0.004s,0m4.175s,946
Dec21_2021-13,login3,36,319.05,277,133.4,95,1687,0m0.003s,0m3.976s,946
Dec21_2021-14,login3,38,313.58,286,110.5,126,1735,0m0.003s,0m3.991s,946
Dec21_2021-15,login3,41,319.97,327,1759.0,114,1813,0m0.003s,0m4.528s,946
Dec21_2021-16,login3,43,336.25,331,1657.7,121,1740,0m0.005s,0m4.532s,945
Dec21_2021-17,login3,39,335.99,307,1645.0,91,1753,0m0.003s,0m4.513s,947
Dec21_2021-18,login3,33,333.42,271,1557.0,97,1670,0m0.003s,0m4.337s,947
Dec21_2021-19,login3,28,329.73,233,168.5,106,1666,0m0.003s,0m4.121s,947
Dec21_2021-20,login3,26,330.99,246,95.0,115,1622,0m0.003s,0m4.029s,946
Dec21_2021-21,login3,26,330.99,245,94.6,110,1731,0m0.003s,0m7.532s,946
Dec21_2021-22,login3,26,331.04,244,105.8,114,1715,0m0.003s,0m4.117s,946
Dec21_2021-23,login3,26,332.0,245,37.1,110,1738,0m0.003s,0m5.197s,948
Dec10_2021-00,login3,43,494.91,419,73.7,55,1058,0m0.003s,0m3.931s,945
Dec10_2021-01,login3,41,495.7,421,165.0,93,1174,0m0.003s,0m3.994s,945
Dec10_2021-02,login3,40,495.18,411,65.0,103,1304,0m0.003s,0m3.930s,944
Dec10_2021-03,login3,40,498.21,416,170.0,53,1140,0m0.003s,0m3.931s,945
Dec10_2021-04,login3,38,496.32,403,65.0,55,1048,0m0.003s,0m3.927s,945
Dec10_2021-05,login3,37,496.15,398,68.5,46,1046,0m0.003s,0m3.939s,944
Dec10_2021-06,login3,35,495.61,390,75.0,44,1021,0m0.003s,0m3.918s,944
Dec10_2021-07,login3,37,496.15,399,85.0,50,1135,0m0.003s,0m4.059s,944
Dec10_2021-08,login3,39,496.76,407,73.7,51,1214,0m0.003s,0m3.958s,943
Dec10_2021-09,login3,45,499.64,440,273.7,56,1334,0m0.003s,0m4.924s,945
Dec10_2021-10,login3,45,500.39,431,73.7,92,1286,0m0.003s,0m3.937s,946
Dec10_2021-11,login3,48,497.32,449,221.1,120,1408,0m0.003s,0m3.983s,946
Dec10_2021-12,login3,50,497.7,460,226.3,81,1367,0m0.003s,0m3.945s,947
Dec10_2021-13,login3,54,506.08,471,47.7,57,1153,0m0.003s,0m3.935s,947
Dec10_2021-14,login3,56,509.28,495,25.0,82,1120,0m0.002s,0m3.922s,945
Dec10_2021-15,login3,58,507.46,511,20.0,53,1159,0m0.003s,0m3.968s,945
Dec10_2021-16,login3,67,506.33,553,30.0,62,1122,0m0.003s,0m3.928s,946
Dec10_2021-17,login3,69,504.79,573,115.0,77,1100,0m0.003s,0m3.929s,947
Dec10_2021-18,login3,65,496.23,539,125.0,64,1144,0m0.003s,0m3.961s,946
Dec10_2021-19,login3,56,492.96,498,25.0,51,1057,0m0.003s,0m3.940s,948
Dec10_2021-20,login3,49,500.26,509,300.0,43,982,0m0.003s,0m4.075s,948
Dec10_2021-21,login3,46,495.65,480,60.0,52,997,0m0.003s,0m3.973s,947
Dec10_2021-22,login3,44,498.5,477,280.0,56,989,0m0.003s,0m3.980s,947
Dec10_2021-23,login3,43,499.15,463,180.0,56,979,0m0.003s,0m3.961s,947
Dec07_2021-00,login3,51,500.85,469,45.0,79,1419,0m0.003s,0m3.953s,941
Dec07_2021-01,login3,48,500.75,450,21.1,65,1457,0m0.003s,0m3.983s,942
Dec07_2021-02,login3,48,501.24,445,121.1,71,1502,0m0.003s,0m3.975s,942
Dec07_2021-03,login3,48,501.23,441,21.1,94,1378,0m0.003s,0m3.970s,943
Dec07_2021-04,login3,45,500.73,424,25.0,125,1277,0m0.003s,0m3.979s,943
Dec07_2021-05,login3,44,500.49,421,20.0,75,1297,0m0.003s,0m3.977s,944
Dec07_2021-06,login3,46,501.12,430,121.1,72,1281,0m0.003s,0m3.968s,944
Dec07_2021-07,login3,46,501.45,425,21.1,83,1244,0m0.003s,0m3.931s,945
Dec07_2021-08,login3,52,505.24,457,15.8,68,1350,0m0.003s,0m3.935s,945
Dec07_2021-09,login3,60,493.58,492,21.1,79,1411,0m0.003s,0m3.934s,945
Dec07_2021-10,login3,66,505.11,526,55.0,101,1638,0m0.003s,0m4.107s,945
Dec07_2021-11,login3,69,498.19,529,15.0,115,1608,0m0.003s,0m3.962s,943
Dec07_2021-12,login3,67,497.77,524,30.0,67,1780,0m0.003s,0m3.963s,943
Dec07_2021-13,login3,68,500.25,543,485.0,54,1675,0m0.004s,0m3.948s,945
Dec07_2021-14,login3,72,491.39,544,145.0,71,1627,0m0.003s,0m4.422s,945
Dec07_2021-15,login3,69,490.37,528,110.0,87,1612,0m0.003s,0m3.954s,945
Dec07_2021-16,login3,70,495.42,531,20.0,76,1646,0m0.003s,0m3.994s,945
Dec07_2021-17,login3,69,495.51,533,30.0,87,1682,0m0.003s,0m3.995s,945
Dec07_2021-18,login3,66,493.33,579,695.0,90,1710,0m0.004s,0m4.119s,946
Dec07_2021-19,login3,60,493.92,494,25.0,94,1693,0m0.003s,0m3.934s,946
Dec07_2021-20,login3,59,491.97,496,20.0,102,1647,0m0.003s,0m3.965s,946
Dec07_2021-21,login3,59,492.14,493,115.0,103,1635,0m0.003s,0m3.939s,946
Dec07_2021-22,login3,60,500.15,523,420.0,90,1597,0m0.004s,0m3.927s,946
Dec07_2021-23,login3,57,497.02,481,121.1,79,1486,0m0.003s,0m4.002s,947
Dec24_2021-00,login4,37,306.4,239,22.2,81,1264,0m0.003s,0m4.027s,947
Dec24_2021-01,login4,35,306.11,228,33.3,76,1232,0m0.003s,0m3.920s,946
Dec24_2021-02,login4,33,306.0,220,22.2,74,1283,0m0.003s,0m4.020s,946
Dec24_2021-03,login4,32,306.34,216,26.3,94,1264,0m0.003s,0m3.932s,862
Dec24_2021-04,login4,29,305.42,209,110.5,88,1217,0m0.003s,0m3.985s,862
Dec24_2021-05,login4,28,305.15,199,16.7,61,1181,0m0.003s,0m3.924s,863
Dec24_2021-06,login4,29,305.35,203,22.2,61,1124,0m0.003s,0m3.923s,862
Dec24_2021-07,login4,29,305.24,203,22.2,57,1109,0m0.003s,0m3.913s,863
Dec24_2021-08,login4,30,305.15,207,15.8,58,1116,0m0.003s,1m59.179s,861
Dec24_2021-09,login4,33,332.93,228,238.9,55,1201,0m0.003s,0m4.129s,945
Dec24_2021-10,login4,32,306.43,214,27.8,56,1176,0m0.003s,0m3.964s,945
Dec24_2021-11,login4,32,306.43,218,33.4,61,1165,0m0.002s,0m3.950s,945
Dec24_2021-12,login4,35,307.19,232,52.6,65,1123,0m0.003s,0m3.957s,945
Dec24_2021-13,login4,39,308.55,251,22.2,61,1118,0m0.002s,0m3.949s,944
Dec24_2021-14,login4,37,309.77,240,22.2,70,1140,0m0.003s,0m3.961s,945
Dec24_2021-15,login4,35,309.2,230,22.2,75,1145,0m0.002s,0m3.939s,944
Dec24_2021-16,login4,36,309.87,239,33.4,69,1182,0m0.003s,0m4.075s,944
Dec24_2021-17,login4,34,310.18,235,52.6,83,1191,0m0.003s,0m4.510s,944
Dec24_2021-18,login4,35,310.64,231,22.2,97,1252,0m0.002s,0m4.053s,944
Dec24_2021-19,login4,34,316.63,234,26.3,97,1175,0m0.003s,1m21.175s,944
Dec24_2021-20,login4,33,316.28,223,15.8,103,1213,0m0.002s,0m3.918s,945
Dec24_2021-21,login4,31,315.53,212,15.8,99,1222,0m0.003s,0m3.992s,945
Dec24_2021-22,login4,29,314.97,204,36.8,106,1181,0m0.002s,0m3.919s,945
Dec24_2021-23,login4,34,316.63,225,63.1,109,1173,0m0.003s,0m3.928s,945
Dec05_2021-00,login5,43,495.56,447,57.9,52,1273,0m0.003s,0m3.943s,946
Dec05_2021-01,login5,42,495.36,442,20.0,48,1295,0m0.003s,0m3.955s,946
Dec05_2021-02,login5,42,495.41,444,21.1,43,1275,0m0.003s,0m3.938s,947
Dec05_2021-03,login5,41,495.47,445,21.1,43,1254,0m0.003s,0m3.963s,947
Dec05_2021-04,login5,42,497.15,448,15.8,44,1266,0m0.003s,0m3.931s,947
Dec05_2021-05,login5,40,496.62,440,21.1,44,1232,0m0.003s,0m4.002s,947
Dec05_2021-06,login5,40,496.7,439,65.0,43,1236,0m0.003s,0m3.953s,947
Dec05_2021-07,login5,39,496.18,433,20.0,47,1208,0m0.003s,0m3.932s,947
Dec05_2021-08,login5,39,496.17,433,70.0,64,1181,0m0.003s,0m3.967s,947
Dec05_2021-09,login5,40,496.19,434,21.1,63,1157,0m0.003s,0m3.988s,948
Dec05_2021-10,login5,40,496.08,432,15.8,73,1121,0m0.003s,0m3.964s,947
Dec05_2021-11,login5,41,496.62,445,60.0,98,1210,0m0.003s,0m3.932s,947
Dec05_2021-12,login5,42,496.86,448,75.0,112,1190,0m0.003s,0m3.915s,947
Dec05_2021-13,login5,44,497.5,460,35.0,69,1214,0m0.003s,0m3.996s,947
Dec05_2021-14,login5,43,498.77,453,65.0,59,1146,0m0.003s,0m3.966s,947
Dec05_2021-15,login5,42,501.91,452,80.0,58,1276,0m0.003s,0m4.045s,948
Dec05_2021-16,login5,44,501.86,456,60.0,102,1344,0m0.003s,0m3.980s,948
Dec05_2021-17,login5,44,498.95,467,30.0,51,1279,0m0.003s,0m3.959s,948
Dec05_2021-18,login5,47,500.37,496,31.6,58,1239,0m0.003s,0m3.997s,948
Dec05_2021-19,login5,45,499.82,469,85.0,66,1230,0m0.003s,0m3.933s,947
Dec05_2021-20,login5,40,498.96,457,20.0,66,1206,0m0.003s,0m3.966s,948
Dec05_2021-21,login5,39,498.66,442,35.0,66,1288,0m0.003s,0m3.955s,949
Dec05_2021-22,login5,41,499.13,448,105.0,36,1230,0m0.003s,0m4.058s,949
Dec05_2021-23,login5,41,499.12,448,42.2,36,1173,0m0.003s,0m3.964s,949
Dec03_2021-00,login5,51,488.03,480,45.0,34,1230,0m0.003s,0m3.928s,944
Dec03_2021-01,login5,51,488.05,463,115.0,45,1292,0m0.003s,0m4.008s,944
Dec03_2021-02,login5,50,487.65,454,20.0,43,1290,0m0.003s,0m3.929s,944
Dec03_2021-03,login5,50,487.89,461,30.0,29,1232,0m0.003s,0m6.255s,944
Dec03_2021-04,login5,48,487.29,447,21.1,25,1233,0m0.003s,0m3.927s,944
Dec03_2021-05,login5,45,486.9,530,250.0,21,1223,0m0.005s,0m4.294s,944
Dec03_2021-06,login5,44,486.82,529,219.2,24,1237,0m0.004s,0m4.634s,944
Dec03_2021-07,login5,44,486.8,519,257.0,29,1320,0m0.004s,0m4.233s,947
Dec03_2021-08,login5,45,487.58,542,235.6,50,1325,0m0.004s,0m4.684s,947
Dec03_2021-09,login5,47,489.64,469,120.0,60,1491,0m0.003s,0m3.924s,948
