date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Feb03_2021-00,login3,37,438.11,309,120.0,47,957,0m0.004s,0m6.978s,903
Feb03_2021-01,login3,40,439.05,315,79.0,56,830,0m0.004s,0m5.019s,904
Feb03_2021-02,login3,39,439.11,318,68.6,58,791,0m0.004s,0m4.034s,904
Feb03_2021-03,login3,37,439.03,308,65.0,62,723,0m0.004s,0m5.876s,904
Feb03_2021-04,login3,33,438.55,299,68.5,53,675,0m0.004s,0m9.074s,904
Feb03_2021-05,login3,31,438.58,295,73.7,44,636,0m0.004s,0m5.566s,903
Feb03_2021-06,login3,30,438.34,281,79.0,48,611,0m0.005s,0m2.379s,904
Feb03_2021-07,login3,29,438.22,278,58.0,48,566,0m0.004s,0m2.378s,904
Feb03_2021-08,login3,31,438.23,282,94.9,44,545,0m0.006s,0m2.402s,904
Feb03_2021-09,login3,35,434.57,282,94.9,55,698,0m0.004s,0m2.394s,904
Feb03_2021-10,login3,40,435.52,295,279.0,75,817,0m0.004s,0m2.353s,904
Feb03_2021-11,login3,49,432.77,313,100.1,16,811,0m0.004s,0m2.375s,904
Feb03_2021-12,login3,58,438.85,341,140.0,74,757,0m0.004s,0m2.367s,904
Feb03_2021-13,login3,63,438.34,370,321.1,95,949,0m0.004s,0m2.411s,904
Feb03_2021-14,login3,67,444.85,386,573.8,170,1109,0m0.005s,0m2.466s,903
Feb03_2021-15,login3,67,442.17,345,78.9,143,1168,0m0.004s,0m2.409s,904
Feb03_2021-16,login3,73,435.57,387,475.0,167,1193,0m0.004s,0m2.387s,904
Feb03_2021-17,login3,69,438.45,382,284.2,121,1104,0m0.005s,0m2.409s,905
Feb03_2021-18,login3,69,440.68,380,258.0,49,1108,0m0.004s,0m2.390s,905
Feb03_2021-19,login3,68,438.03,369,75.0,57,1009,0m0.006s,0m2.496s,904
Feb03_2021-20,login3,64,437.84,355,75.0,65,997,0m0.004s,0m2.360s,905
Feb03_2021-21,login3,58,437.59,339,68.5,72,1066,0m0.004s,0m2.383s,904
Feb03_2021-22,login3,62,433.13,335,57.9,79,1039,0m0.004s,0m2.396s,904
Feb03_2021-23,login3,57,439.85,323,89.5,82,996,0m0.004s,0m2.388s,905
Feb06_2021-00,login2,26,435.04,288,21.0,48,566,0m0.005s,0m2.333s,900
Feb06_2021-01,login2,26,435.04,284,16.7,60,545,0m0.005s,0m2.342s,900
Feb06_2021-02,login2,25,434.82,275,33.4,59,524,0m0.005s,0m2.382s,900
Feb06_2021-03,login2,25,434.88,277,21.1,44,511,0m0.004s,0m2.588s,900
Feb06_2021-04,login2,23,434.59,273,47.4,38,468,0m0.005s,0m2.359s,900
Feb06_2021-05,login2,23,434.57,271,16.7,38,457,0m0.005s,0m2.365s,900
Feb06_2021-06,login2,23,434.43,271,63.2,35,432,0m0.005s,0m2.364s,900
Feb06_2021-07,login2,22,434.28,269,11.1,34,446,0m0.005s,0m2.365s,900
Feb06_2021-08,login2,21,433.57,267,52.7,29,421,0m0.005s,0m2.365s,899
Feb06_2021-09,login2,21,433.68,266,22.2,32,432,0m0.005s,0m2.354s,899
Feb06_2021-10,login2,21,433.69,266,15.8,34,425,0m0.004s,0m2.475s,900
Feb06_2021-11,login2,23,433.83,271,21.1,48,570,0m0.005s,0m2.342s,899
Feb06_2021-12,login2,28,444.29,284,184.2,61,657,0m0.005s,0m2.413s,899
Feb06_2021-13,login2,28,444.58,282,178.9,67,620,0m0.004s,0m2.376s,899
Feb06_2021-14,login2,25,444.25,274,72.3,71,595,0m0.005s,0m2.413s,899
Feb06_2021-15,login2,25,444.29,274,52.6,62,566,0m0.005s,0m2.384s,899
Feb06_2021-16,login2,24,444.17,272,68.5,64,595,0m0.005s,0m2.405s,899
Feb06_2021-17,login2,23,443.99,270,73.7,66,571,0m0.005s,0m2.393s,899
Feb06_2021-18,login2,24,444.02,274,57.9,61,577,0m0.005s,0m2.366s,899
Feb06_2021-19,login2,22,443.7,271,68.5,89,636,0m0.005s,0m2.357s,898
Feb06_2021-20,login2,21,444.39,267,72.3,66,559,0m0.005s,0m2.374s,899
Feb06_2021-21,login2,20,444.19,265,57.9,61,534,0m0.005s,0m2.371s,899
Feb06_2021-22,login2,20,434.74,261,15.8,63,558,0m0.005s,0m2.349s,899
Feb06_2021-23,login2,20,441.11,282,77.9,50,509,0m0.005s,0m2.372s,897
Feb20_2021-00,login5,77,477.09,589,35.0,95,572,0m0.005s,0m2.408s,902
Feb20_2021-01,login5,76,476.43,583,25.0,104,594,0m0.004s,0m2.396s,903
Feb20_2021-02,login5,74,475.92,579,35.0,83,609,0m0.005s,0m2.396s,904
Feb20_2021-03,login5,74,476.23,580,30.0,69,530,0m0.004s,0m2.352s,903
Feb20_2021-04,login5,70,475.35,566,20.0,72,504,0m0.005s,0m2.407s,904
Feb20_2021-05,login5,67,475.04,558,35.0,62,479,0m0.005s,0m2.384s,904
Feb20_2021-06,login5,67,475.05,558,40.0,50,445,0m0.005s,0m2.380s,903
Feb20_2021-07,login5,66,477.64,560,40.0,30,426,0m0.005s,0m2.371s,901
Feb20_2021-08,login5,65,477.32,559,35.0,31,416,0m0.005s,0m2.374s,901
Feb20_2021-09,login5,66,477.47,561,25.0,42,397,0m0.005s,0m2.355s,901
Feb20_2021-10,login5,67,477.79,562,25.0,51,448,0m0.005s,0m2.369s,901
Feb20_2021-11,login5,71,491.39,581,85.0,77,465,0m0.004s,0m2.380s,900
Feb20_2021-12,login5,73,490.91,574,115.0,96,538,0m0.006s,0m2.406s,900
Feb20_2021-13,login5,76,491.86,580,90.5,78,447,0m0.005s,0m2.348s,902
Feb20_2021-14,login5,79,480.18,590,30.0,68,429,0m0.005s,0m2.382s,901
Feb20_2021-15,login5,78,492.11,592,245.0,69,392,0m0.005s,0m2.361s,901
Feb20_2021-16,login5,77,492.69,592,230.0,96,415,0m0.005s,0m2.423s,901
Feb20_2021-17,login5,74,492.32,586,145.0,107,496,0m0.005s,0m2.388s,901
Feb20_2021-18,login5,76,495.0,593,450.0,75,500,0m0.005s,0m2.542s,900
Feb20_2021-19,login5,76,479.95,580,40.0,67,441,0m0.005s,0m2.416s,901
Feb20_2021-20,login5,73,479.47,570,120.0,59,421,0m0.005s,0m2.393s,901
Feb20_2021-21,login5,70,477.84,560,20.0,57,511,0m0.005s,0m2.369s,900
Feb20_2021-22,login5,71,492.71,564,80.0,71,476,0m0.005s,0m2.398s,900
Feb20_2021-23,login5,69,476.71,556,15.0,44,489,0m0.004s,0m2.393s,900
Feb02_2021-00,login1,51,366.88,430,42.2,112,684,0m0.004s,0m3.878s,899
Feb02_2021-01,login1,45,367.21,383,21.1,87,663,0m0.004s,0m2.383s,899
Feb02_2021-02,login1,41,366.34,370,42.2,45,605,0m0.004s,0m2.357s,899
Feb02_2021-03,login1,40,366.74,439,65.0,41,563,0m0.004s,0m2.385s,898
Feb02_2021-04,login1,41,366.25,366,25.0,41,539,0m0.004s,0m2.404s,899
Feb02_2021-05,login1,39,365.57,358,15.8,51,542,0m0.004s,0m2.397s,899
Feb02_2021-06,login1,39,364.59,364,20.0,59,523,0m0.004s,0m2.515s,899
Feb02_2021-07,login1,36,364.1,337,25.0,56,505,0m0.004s,0m2.409s,898
Feb02_2021-08,login1,39,377.9,355,31.6,68,587,0m0.004s,0m2.387s,899
Feb02_2021-09,login1,44,388.95,361,20.0,84,584,0m0.004s,0m2.368s,899
Feb02_2021-10,login1,53,393.89,398,20.0,93,670,0m0.004s,0m2.388s,899
Feb02_2021-11,login1,57,394.63,420,15.0,113,733,0m0.004s,0m2.363s,899
Feb02_2021-12,login1,58,397.89,425,395.0,101,924,0m0.004s,0m2.381s,899
Feb02_2021-13,login1,60,404.04,435,421.1,108,880,0m0.004s,0m2.425s,899
Feb02_2021-14,login1,63,403.17,434,15.0,193,871,0m0.004s,0m2.530s,898
Feb02_2021-15,login1,64,403.21,435,60.0,136,950,0m0.004s,0m2.531s,898
Feb02_2021-16,login1,63,406.21,436,236.9,72,900,0m0.004s,0m2.465s,898
Feb02_2021-17,login1,70,407.79,451,20.0,84,1013,0m0.004s,0m2.362s,898
Feb02_2021-18,login1,69,410.4,451,35.0,88,982,0m0.004s,0m2.363s,898
Feb02_2021-19,login1,72,415.63,468,231.6,100,975,0m0.004s,0m2.643s,899
Feb02_2021-20,login1,66,411.24,435,25.0,83,859,0m0.004s,0m2.388s,897
Feb02_2021-21,login1,67,412.05,446,42.2,84,951,0m0.004s,0m2.414s,899
Feb02_2021-22,login1,63,411.86,429,20.0,91,908,0m0.004s,0m2.367s,899
Feb02_2021-23,login1,60,412.39,420,30.0,47,830,0m0.004s,0m2.423s,899
Feb13_2021-00,login4,46,492.05,579,76.2,65,681,0m0.004s,0m3.027s,664
Feb13_2021-01,login4,41,491.6,565,66.7,61,570,0m0.004s,0m2.393s,665
Feb13_2021-02,login4,40,494.26,561,70.0,59,586,0m0.005s,0m2.362s,665
Feb13_2021-03,login4,38,494.04,551,70.0,60,558,0m0.004s,0m2.341s,663
Feb13_2021-04,login4,38,493.84,561,205.0,46,552,0m0.004s,0m2.348s,664
Feb13_2021-05,login4,37,493.63,547,75.0,44,523,0m0.004s,0m2.349s,664
Feb13_2021-06,login4,39,493.93,550,75.0,46,519,0m0.004s,0m2.352s,664
Feb13_2021-07,login4,38,493.81,561,85.0,67,560,0m0.004s,0m2.381s,664
Feb13_2021-08,login4,36,493.52,556,225.0,64,572,0m0.005s,0m2.369s,664
Feb13_2021-09,login4,37,493.72,545,70.0,77,624,0m0.006s,0m2.478s,663
Feb13_2021-10,login4,38,471.76,546,30.0,72,609,0m0.004s,0m2.348s,664
Feb13_2021-11,login4,39,485.26,552,170.0,78,637,0m0.004s,0m2.418s,664
Feb13_2021-12,login4,42,492.81,553,75.0,94,633,0m0.004s,0m2.391s,665
Feb13_2021-13,login4,44,493.86,568,175.0,80,675,0m0.004s,0m2.374s,665
Feb13_2021-14,login4,45,494.54,568,209.5,51,712,0m0.004s,0m2.624s,665
Feb13_2021-15,login4,44,494.35,577,80.9,66,666,0m0.004s,0m2.358s,665
Feb13_2021-16,login4,46,494.84,583,95.0,61,647,0m0.004s,0m2.417s,665
Feb13_2021-17,login4,46,498.06,587,166.6,53,632,0m0.004s,0m2.379s,664
Feb13_2021-18,login4,48,498.65,582,76.2,53,627,0m0.004s,0m2.401s,665
Feb13_2021-19,login4,46,498.01,573,75.0,62,790,0m0.004s,0m2.365s,665
Feb13_2021-20,login4,40,496.9,552,61.9,50,635,0m0.004s,0m2.383s,665
Feb13_2021-21,login4,37,496.49,546,75.0,69,829,0m0.004s,0m2.362s,665
Feb13_2021-22,login4,35,495.93,546,75.0,42,859,0m0.004s,0m2.591s,664
Feb13_2021-23,login4,36,496.52,548,75.0,44,646,0m0.004s,0m2.348s,663
Feb08_2021-00,login4,42,486.25,558,820.0,47,459,0m0.005s,0m2.370s,588
Feb08_2021-01,login4,39,477.27,506,35.0,41,527,0m0.005s,0m2.347s,588
Feb08_2021-02,login4,39,477.29,504,30.0,39,450,0m0.005s,0m2.379s,588
Feb08_2021-03,login4,37,476.92,496,30.0,33,427,0m0.005s,0m2.336s,588
Feb08_2021-04,login4,36,476.73,495,70.0,35,416,0m0.005s,0m2.378s,588
Feb08_2021-05,login4,38,477.04,499,25.0,35,401,0m0.005s,0m2.368s,588
Feb08_2021-06,login4,40,477.41,506,15.0,30,394,0m0.005s,0m2.395s,587
Feb08_2021-07,login4,40,478.01,518,15.0,34,391,0m0.005s,0m2.360s,588
Feb08_2021-08,login4,43,479.59,518,35.0,38,405,0m0.005s,0m2.488s,899
Feb08_2021-09,login4,43,479.76,515,20.0,47,425,0m0.005s,0m2.388s,899
Feb08_2021-10,login4,52,482.51,564,185.0,53,487,0m0.005s,0m2.429s,899
Feb08_2021-11,login4,51,490.3,587,780.7,95,618,0m0.005s,0m2.620s,815
Feb08_2021-12,login4,53,505.88,553,80.0,104,684,0m0.005s,0m2.453s,815
Feb08_2021-13,login4,49,504.11,540,30.0,78,767,0m0.005s,0m2.358s,655
Feb08_2021-14,login4,55,499.63,552,30.0,59,686,0m0.005s,0m13.233s,736
Feb08_2021-15,login4,53,501.56,549,25.0,79,795,0m0.005s,0m2.383s,736
Feb08_2021-16,login4,56,505.95,588,722.7,88,747,0m0.005s,0m2.451s,736
Feb08_2021-17,login4,63,497.86,604,380.0,79,693,0m0.005s,0m2.349s,742
Feb08_2021-18,login4,60,497.79,578,25.0,76,697,0m0.005s,0m2.359s,591
Feb08_2021-19,login4,55,496.58,560,30.0,85,655,0m0.005s,0m2.531s,591
Feb08_2021-20,login4,57,497.59,572,25.0,74,650,0m0.005s,0m2.413s,590
Feb08_2021-21,login4,54,494.7,562,40.0,86,637,0m0.005s,0m2.395s,590
Feb08_2021-22,login4,50,494.27,552,35.0,93,652,0m0.005s,0m2.360s,590
Feb08_2021-23,login4,49,494.32,539,25.0,74,625,0m0.005s,0m2.346s,899
Feb19_2021-00,login1,56,497.62,387,121.1,84,543,0m0.004s,0m2.361s,599
