date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Jan01_2021-00,login5,31,488.33,310,221.2,145,944,0m0.005s,0m3.896s,878
Jan01_2021-01,login5,31,489.36,309,226.4,88,831,0m0.005s,0m3.908s,878
Jan01_2021-02,login5,31,487.46,310,215.9,85,779,0m0.007s,0m3.934s,637
Jan01_2021-03,login5,29,488.14,296,179.1,88,729,0m0.005s,0m3.906s,638
Jan01_2021-04,login5,30,492.06,296,179.1,83,730,0m0.005s,0m3.891s,638
Jan01_2021-05,login5,29,491.3,295,168.6,91,719,0m0.005s,0m4.002s,638
Jan01_2021-06,login5,28,491.57,293,194.8,86,701,0m0.005s,0m3.904s,639
Jan01_2021-07,login5,28,490.73,295,179.1,106,726,0m0.005s,0m4.053s,640
Jan01_2021-08,login5,30,492.25,304,158.1,111,738,0m0.006s,0m3.983s,880
Jan01_2021-09,login5,31,461.52,304,231.8,125,744,0m0.005s,0m3.918s,880
Jan01_2021-10,login5,30,463.54,302,231.8,140,800,0m0.005s,0m3.889s,880
Jan01_2021-11,login5,30,463.63,297,226.4,109,761,0m0.005s,0m4.178s,880
Jan01_2021-12,login5,30,462.18,302,221.1,109,708,0m0.005s,0m3.999s,881
Jan01_2021-13,login5,29,464.65,301,147.4,134,720,0m0.007s,0m3.909s,880
Jan01_2021-14,login5,29,463.83,300,184.4,219,810,0m0.005s,0m3.919s,881
Jan01_2021-15,login5,29,466.08,283,115.7,127,799,0m0.005s,0m3.951s,878
Jan01_2021-16,login5,33,466.85,294,115.9,139,689,0m0.005s,0m3.916s,880
Jan01_2021-17,login5,32,455.09,294,110.6,128,649,0m0.005s,0m4.151s,880
Jan01_2021-18,login5,32,453.46,289,126.4,125,756,0m0.005s,0m3.924s,881
Jan01_2021-19,login5,32,446.19,289,100.1,138,770,0m0.007s,0m3.888s,879
Jan01_2021-20,login5,30,446.0,282,57.9,133,777,0m0.005s,0m3.888s,880
Jan01_2021-21,login5,31,445.92,285,15.8,134,764,0m0.005s,0m3.958s,880
Jan01_2021-22,login5,31,446.78,295,231.6,164,762,0m0.005s,0m3.897s,880
Jan01_2021-23,login5,32,446.83,288,26.3,158,789,0m0.007s,0m3.896s,878
Jan07_2021-00,login1,57,431.67,711,90.0,50,789,0m0.007s,0m3.929s,882
Jan07_2021-01,login1,54,431.59,707,95.0,65,783,0m0.004s,0m3.900s,882
Jan07_2021-02,login1,54,432.19,713,120.0,61,781,0m0.004s,0m3.985s,883
Jan07_2021-03,login1,53,432.06,715,171.4,46,739,0m0.004s,0m3.905s,883
Jan07_2021-04,login1,51,430.89,700,166.6,52,727,0m0.004s,0m3.904s,882
Jan07_2021-05,login1,53,430.12,699,105.0,41,697,0m0.005s,0m7.263s,883
Jan07_2021-06,login1,56,430.14,705,33.3,41,706,0m0.005s,0m4.132s,884
Jan07_2021-07,login1,57,430.54,711,119.0,42,709,0m0.004s,0m3.894s,885
Jan07_2021-08,login1,58,430.57,699,33.4,38,710,0m0.005s,0m3.975s,885
Jan07_2021-09,login1,55,437.19,696,230.0,50,697,0m0.005s,0m3.949s,885
Jan07_2021-10,login1,61,438.65,735,35.0,63,797,0m0.004s,0m4.023s,883
Jan07_2021-11,login1,69,443.5,779,538.1,61,840,0m0.005s,0m4.036s,884
Jan07_2021-12,login1,79,451.0,802,100.0,75,858,0m0.005s,0m4.242s,883
Jan07_2021-13,login1,87,454.55,811,123.8,71,868,0m0.004s,0m6.325s,882
Jan07_2021-14,login1,89,459.79,820,66.6,67,873,0m0.005s,0m3.924s,882
