date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Jun13_2020-00,login3,64,451.55,472,190.0,77,560,0m0.003s,0m23.696s,906
Jun13_2020-01,login3,58,450.87,447,30.0,81,545,0m0.003s,0m23.742s,905
Jun13_2020-02,login3,56,450.92,425,25.0,82,516,0m0.003s,0m24.310s,905
Jun13_2020-03,login3,50,449.86,405,36.9,68,534,0m0.003s,0m23.796s,904
Jun13_2020-04,login3,50,455.34,404,20.0,62,497,0m0.003s,0m24.014s,904
Jun13_2020-05,login3,47,454.94,397,26.4,57,470,0m0.003s,0m23.791s,905
Jun13_2020-06,login3,48,455.17,404,31.6,61,464,0m0.003s,0m23.863s,905
Jun13_2020-07,login3,51,455.87,432,25.0,59,459,0m0.003s,0m23.866s,905
Jun13_2020-08,login3,48,455.5,423,15.8,56,459,0m0.003s,0m23.820s,904
Jun13_2020-09,login3,49,456.55,456,126.4,59,495,0m0.003s,0m23.719s,904
Jun13_2020-10,login3,51,456.73,462,125.0,59,461,0m0.003s,0m23.746s,904
Jun13_2020-11,login3,54,456.66,441,25.0,58,465,0m0.004s,0m23.703s,905
Jun13_2020-12,login3,54,468.02,440,89.6,63,471,0m0.004s,0m23.791s,906
Jun13_2020-13,login3,56,469.31,458,80.0,60,498,0m0.003s,0m23.843s,905
Jun13_2020-14,login3,61,471.05,458,35.0,59,481,0m0.003s,0m23.728s,905
Jun13_2020-15,login3,58,477.23,456,25.0,59,486,0m0.003s,0m23.709s,905
Jun13_2020-16,login3,60,484.55,458,225.0,48,504,0m0.003s,0m23.751s,904
Jun13_2020-17,login3,57,489.39,471,415.0,58,522,0m0.003s,0m23.789s,903
Jun13_2020-18,login3,58,497.8,496,880.6,61,544,0m0.004s,0m27.292s,903
Jun13_2020-19,login3,58,497.05,514,730.0,64,588,0m0.004s,0m23.893s,904
Jun13_2020-20,login3,56,489.79,460,15.8,80,569,0m0.003s,0m23.838s,904
Jun13_2020-21,login3,59,492.54,479,155.0,84,566,0m0.003s,0m24.085s,904
Jun13_2020-22,login3,60,491.63,475,20.0,82,568,0m0.003s,0m23.797s,903
Jun13_2020-23,login3,60,492.4,461,35.0,93,556,0m0.003s,0m23.852s,903
Jun06_2020-00,login3,45,419.01,296,110.8,95,792,0m0.003s,0m23.824s,907
Jun06_2020-01,login3,45,411.83,390,335.0,88,782,0m0.006s,0m24.690s,905
Jun06_2020-02,login3,37,407.62,266,36.9,88,737,0m0.003s,0m23.541s,906
Jun06_2020-03,login3,39,409.36,294,358.0,96,741,0m0.003s,0m23.865s,906
Jun06_2020-04,login3,37,419.7,290,458.1,95,725,0m0.003s,0m23.781s,905
Jun06_2020-05,login3,33,420.62,281,594.9,97,715,0m0.003s,0m23.787s,905
Jun06_2020-06,login3,33,419.86,277,452.7,89,708,0m0.003s,0m24.153s,905
Jun06_2020-07,login3,32,418.92,271,105.4,80,682,0m0.003s,0m26.466s,906
Jun06_2020-08,login3,35,419.34,278,94.8,77,662,0m0.003s,0m24.171s,905
Jun06_2020-09,login3,35,419.43,283,89.5,73,630,0m0.003s,0m23.864s,904
Jun06_2020-10,login3,35,419.65,283,110.0,77,657,0m0.003s,0m24.196s,904
Jun06_2020-11,login3,35,419.47,278,100.0,70,654,0m0.003s,0m23.731s,903
Jun06_2020-12,login3,36,423.34,284,189.5,84,636,0m0.003s,0m23.791s,903
Jun06_2020-13,login3,39,424.89,301,315.8,91,669,0m0.003s,0m24.058s,903
Jun06_2020-14,login3,37,424.82,296,158.0,95,744,0m0.003s,0m24.102s,902
Jun06_2020-15,login3,38,425.14,315,184.3,93,742,0m0.003s,0m23.820s,903
Jun06_2020-16,login3,36,425.29,294,95.0,102,742,0m0.003s,0m24.042s,903
Jun06_2020-17,login3,35,427.51,292,85.0,90,718,0m0.003s,0m23.913s,903
Jun06_2020-18,login3,37,428.04,299,142.2,75,703,0m0.003s,0m24.099s,903
Jun06_2020-19,login3,40,428.52,306,131.7,72,701,0m0.003s,0m23.765s,902
Jun06_2020-20,login3,35,425.99,274,352.7,60,692,0m0.003s,0m23.998s,902
Jun06_2020-21,login3,34,425.72,267,279.2,57,718,0m0.003s,0m23.699s,902
Jun06_2020-22,login3,34,426.53,294,705.3,71,701,0m0.004s,0m24.361s,903
Jun06_2020-23,login3,34,426.76,278,210.6,99,678,0m0.003s,0m23.721s,903
Jun16_2020-00,login1,72,434.71,812,338.2,73,525,0m0.003s,0m23.895s,743
Jun16_2020-01,login1,69,431.11,842,162.1,73,515,0m0.003s,0m23.939s,743
Jun16_2020-02,login1,66,431.24,736,140.0,68,561,0m0.003s,0m23.762s,744
Jun16_2020-03,login1,58,429.3,709,285.0,73,530,0m0.003s,0m23.770s,743
Jun16_2020-04,login1,57,429.31,717,215.0,69,530,0m0.003s,0m24.332s,743
Jun16_2020-05,login1,58,429.58,727,76.3,61,509,0m0.003s,0m25.082s,906
Jun16_2020-06,login1,62,430.57,720,55.0,68,509,0m0.003s,0m23.828s,906
Jun16_2020-07,login1,60,430.83,718,28.6,73,503,0m0.003s,0m23.890s,906
Jun16_2020-08,login1,60,430.82,718,81.0,75,498,0m0.003s,0m23.841s,906
Jun16_2020-09,login1,69,450.37,745,38.1,81,586,0m0.003s,0m28.292s,547
Jun16_2020-10,login1,78,441.43,769,62.1,80,593,0m0.003s,0m23.885s,905
Jun16_2020-11,login1,79,442.44,798,128.8,85,647,0m0.003s,0m23.788s,906
Jun16_2020-12,login1,88,448.1,807,109.0,83,748,0m0.003s,0m23.665s,1494
Jun16_2020-13,login1,92,437.14,811,62.1,99,725,0m0.003s,0m23.954s,1494
Jun16_2020-14,login1,93,444.98,808,81.0,94,766,0m0.003s,0m23.813s,1495
Jun16_2020-15,login1,91,443.17,840,43.0,114,1003,0m0.003s,0m24.203s,1495
Jun16_2020-16,login1,92,445.19,857,181.2,113,895,0m0.004s,0m24.052s,1495
Jun16_2020-17,login1,87,445.42,833,519.1,118,910,0m0.003s,0m24.457s,1495
Jun16_2020-18,login1,78,455.56,774,2052.5,126,900,0m0.005s,0m24.341s,1496
Jun16_2020-19,login1,82,451.32,821,1356.4,115,967,0m0.004s,0m24.466s,1495
Jun16_2020-20,login1,71,451.72,770,1648.0,80,805,0m0.005s,0m24.305s,1495
Jun16_2020-21,login1,71,451.77,742,119.1,47,768,0m0.003s,0m23.738s,1495
Jun16_2020-22,login1,67,452.37,747,295.3,43,886,0m0.005s,0m24.730s,1495
Jun16_2020-23,login1,63,454.0,741,2117.1,29,771,0m0.006s,0m24.835s,1396
Jun24_2020-00,login1,65,460.22,751,238.1,133,945,0m0.004s,0m23.789s,911
Jun24_2020-01,login1,63,460.59,734,119.0,92,809,0m0.003s,0m24.670s,913
Jun24_2020-02,login1,59,465.0,747,155.0,63,745,0m0.003s,0m24.132s,912
Jun24_2020-03,login1,56,465.81,728,295.1,54,698,0m0.003s,0m24.819s,912
Jun24_2020-04,login1,60,466.01,737,235.0,53,711,0m0.003s,0m24.067s,912
Jun24_2020-05,login1,60,465.13,726,225.0,55,708,0m0.003s,0m23.618s,912
Jun24_2020-06,login1,59,465.9,722,225.0,49,680,0m0.003s,0m23.875s,912
Jun24_2020-07,login1,58,465.02,722,119.0,50,680,0m0.003s,0m23.897s,913
Jun24_2020-08,login1,60,467.55,732,349.9,42,691,0m0.003s,0m23.940s,911
Jun24_2020-09,login1,64,467.92,740,190.0,57,793,0m0.003s,0m23.771s,911
Jun24_2020-10,login1,73,474.67,772,195.3,74,825,0m0.003s,0m23.787s,913
Jun24_2020-11,login1,83,478.76,810,300.1,83,898,0m0.003s,0m23.971s,912
Jun24_2020-12,login1,86,488.59,806,200.2,71,876,0m0.004s,0m23.666s,912
Jun24_2020-13,login1,97,486.93,902,81.8,74,801,0m0.003s,99m13.231s,912
Jun24_2020-14,login1,85,487.16,767,176.2,30,759,0m0.003s,0m23.766s,912
Jun24_2020-15,login1,93,471.03,848,1290.8,56,843,0m0.004s,0m24.014s,912
Jun24_2020-16,login1,95,473.19,821,400.1,64,985,0m0.003s,0m23.805s,912
Jun24_2020-17,login1,95,475.43,828,400.1,89,978,0m0.004s,0m23.795s,911
Jun24_2020-18,login1,93,475.57,813,428.8,94,972,0m0.004s,0m23.809s,911
Jun24_2020-19,login1,91,479.95,809,209.6,96,933,0m0.004s,0m23.815s,912
Jun24_2020-20,login1,87,491.97,791,130.0,73,1140,0m0.003s,0m23.748s,912
Jun24_2020-21,login1,83,441.78,770,228.5,81,1104,0m0.003s,0m23.795s,913
Jun24_2020-22,login1,84,442.77,785,228.6,85,1135,0m0.004s,0m23.934s,912
Jun24_2020-23,login1,82,443.46,774,109.5,123,1154,0m0.003s,0m23.856s,912
Jun21_2020-00,login5,49,286.36,551,15.0,110,697,0m0.003s,0m23.809s,919
Jun21_2020-01,login5,47,286.18,549,20.0,109,790,0m0.003s,0m23.812s,917
Jun21_2020-02,login5,45,286.21,543,30.0,143,780,0m0.003s,0m24.414s,918
Jun21_2020-03,login5,43,285.95,532,30.0,142,809,0m0.003s,0m23.878s,919
Jun21_2020-04,login5,43,285.78,532,30.0,97,749,0m0.003s,0m23.726s,918
Jun21_2020-05,login5,43,285.8,532,25.0,90,702,0m0.003s,0m23.567s,918
Jun21_2020-06,login5,42,285.78,529,15.0,88,701,0m0.003s,0m23.708s,918
Jun21_2020-07,login5,41,285.66,527,15.0,88,682,0m0.003s,0m23.734s,919
Jun21_2020-08,login5,41,285.64,527,30.0,96,621,0m0.003s,0m23.783s,918
Jun21_2020-09,login5,40,285.8,525,15.0,96,615,0m0.003s,0m26.380s,917
Jun21_2020-10,login5,42,286.26,531,20.0,100,615,0m0.003s,0m23.721s,917
Jun21_2020-11,login5,45,282.43,542,30.0,102,589,0m0.003s,0m23.657s,916
Jun21_2020-12,login5,44,283.47,547,25.0,140,634,0m0.003s,0m24.402s,914
Jun21_2020-13,login5,51,286.06,567,20.0,163,692,0m0.003s,0m24.119s,914
Jun21_2020-14,login5,48,286.82,564,20.0,168,740,0m0.003s,0m26.429s,915
Jun21_2020-15,login5,50,286.18,570,25.0,135,717,0m0.003s,0m27.104s,916
Jun21_2020-16,login5,49,286.59,565,25.0,169,766,0m0.004s,0m24.128s,915
Jun21_2020-17,login5,49,291.71,561,25.0,152,698,0m0.003s,0m23.772s,915
Jun21_2020-18,login5,49,288.06,565,20.0,119,724,0m0.003s,0m23.794s,915
Jun21_2020-19,login5,51,304.33,571,25.0,102,629,0m0.003s,0m23.824s,915
Jun21_2020-20,login5,49,306.47,561,25.0,98,673,0m0.003s,0m26.960s,915
Jun21_2020-21,login5,48,306.67,548,20.0,89,630,0m0.003s,0m24.070s,915
Jun21_2020-22,login5,45,306.45,542,21.1,96,687,0m0.003s,0m23.901s,915
Jun21_2020-23,login5,42,305.81,534,20.0,98,681,0m0.003s,0m23.855s,914
Jun03_2020-00,login2,41,390.54,208,31.6,98,676,0m0.003s,0m23.723s,901
Jun03_2020-01,login2,42,390.62,209,21.1,78,769,0m0.003s,0m23.781s,901
Jun03_2020-02,login2,41,392.35,225,121.0,78,709,0m0.003s,0m23.821s,901
Jun03_2020-03,login2,37,391.84,212,15.8,73,672,0m0.003s,4m57.206s,901
Jun03_2020-04,login2,36,389.8,197,22.2,72,641,0m0.003s,0m23.660s,901
Jun03_2020-05,login2,33,389.45,189,15.8,71,628,0m0.003s,0m23.709s,901
Jun03_2020-06,login2,32,389.12,187,22.3,61,585,0m0.003s,0m23.756s,901
Jun03_2020-07,login2,31,388.67,188,11.1,49,575,0m0.003s,0m23.802s,900
Jun03_2020-08,login2,32,388.98,194,227.8,53,557,0m0.003s,0m23.845s,901
Jun03_2020-09,login2,30,388.8,186,15.8,52,565,0m0.003s,0m23.739s,901
Jun03_2020-10,login2,39,391.46,211,21.1,75,656,0m0.003s,0m23.712s,900
Jun03_2020-11,login2,44,396.56,340,1526.4,109,700,0m0.006s,0m25.631s,900
Jun03_2020-12,login2,53,401.52,291,2036.7,116,877,0m0.004s,0m24.957s,900
Jun03_2020-13,login2,59,400.58,261,20.0,205,1056,0m0.004s,0m26.185s,900
Jun03_2020-14,login2,63,414.56,468,2181.9,148,928,0m0.004s,0m28.691s,901
Jun03_2020-15,login2,67,421.43,331,415.0,142,822,0m0.004s,0m24.184s,901
Jun03_2020-16,login2,69,423.73,319,179.0,148,847,0m0.004s,0m24.415s,899
Jun03_2020-17,login2,69,332.3,304,47.5,174,891,0m0.003s,0m24.260s,899
Jun03_2020-18,login2,63,333.0,312,794.6,158,818,0m0.004s,0m23.907s,899
Jun03_2020-19,login2,59,336.54,269,21.1,146,792,0m0.003s,0m23.819s,900
Jun03_2020-20,login2,58,342.39,306,345.0,149,754,0m0.004s,0m25.520s,900
Jun03_2020-21,login2,51,344.65,263,125.0,158,744,0m0.004s,0m25.626s,899
Jun03_2020-22,login2,52,342.12,248,15.8,150,749,0m0.003s,0m23.998s,899
Jun03_2020-23,login2,47,342.67,238,31.6,86,751,0m0.003s,0m23.860s,899
Jun01_2020-00,login4,30,441.59,242,121.0,95,467,0m0.003s,0m24.082s,899
Jun01_2020-01,login4,30,441.54,243,26.3,96,397,0m0.003s,0m24.181s,897
Jun01_2020-02,login4,30,441.56,243,116.7,106,381,0m0.003s,0m23.860s,898
Jun01_2020-03,login4,29,441.29,240,27.8,106,371,0m0.003s,0m23.813s,898
Jun01_2020-04,login4,28,441.08,238,26.3,84,353,0m0.003s,0m23.698s,897
Jun01_2020-05,login4,27,440.88,236,115.8,70,312,0m0.003s,0m23.872s,898
Jun01_2020-06,login4,27,440.89,236,16.7,56,280,0m0.003s,0m23.749s,898
Jun01_2020-07,login4,26,440.79,234,10.5,53,275,0m0.003s,0m23.835s,898
Jun01_2020-08,login4,27,441.3,237,15.8,44,281,0m0.003s,0m23.722s,898
Jun01_2020-09,login4,30,422.4,247,21.1,48,317,0m0.003s,0m23.800s,898
Jun01_2020-10,login4,36,424.54,276,121.0,63,339,0m0.003s,0m23.839s,899
Jun01_2020-11,login4,44,425.66,334,625.0,81,453,0m0.004s,0m24.284s,898
Jun01_2020-12,login4,46,428.41,329,226.3,87,616,0m0.005s,0m26.426s,898
Jun01_2020-13,login4,45,430.17,330,710.6,67,581,0m0.005s,0m25.409s,900
Jun01_2020-14,login4,42,429.76,324,673.7,74,606,0m0.003s,0m25.714s,899
Jun01_2020-15,login4,43,429.98,346,1105.3,98,611,0m0.005s,0m27.968s,899
Jun01_2020-16,login4,47,438.83,338,670.0,92,635,0m0.004s,0m24.523s,900
Jun01_2020-17,login4,50,448.19,321,221.1,85,655,0m0.003s,0m28.445s,900
Jun01_2020-18,login4,48,448.71,338,310.5,94,638,0m0.004s,0m23.814s,819
Jun01_2020-19,login4,46,449.46,315,210.0,82,613,0m0.004s,0m26.123s,819
Jun01_2020-20,login4,43,450.89,357,977.7,79,536,0m0.004s,0m23.812s,818
Jun01_2020-21,login4,37,448.38,290,21.1,101,545,0m0.003s,0m23.756s,818
Jun01_2020-22,login4,42,450.64,308,21.1,85,549,0m0.003s,0m23.833s,818
Jun01_2020-23,login4,41,453.97,292,21.1,161,620,0m0.003s,0m23.789s,818
Jun18_2020-00,login5,69,483.04,617,23.8,113,1242,0m0.004s,0m23.634s,909
Jun18_2020-01,login5,68,483.28,617,35.0,74,846,0m0.004s,0m23.883s,906
Jun18_2020-02,login5,67,487.66,624,30.0,35,727,0m0.004s,0m23.724s,906
Jun18_2020-03,login5,66,488.15,628,504.5,12,679,0m0.004s,0m23.945s,906
Jun18_2020-04,login5,64,500.91,627,509.3,11,644,0m0.004s,0m23.754s,907
Jun18_2020-05,login5,62,493.08,620,545.0,11,656,0m0.004s,0m23.820s,906
Jun18_2020-06,login5,63,489.48,608,476.1,11,660,0m0.004s,0m23.586s,906
Jun18_2020-07,login5,63,489.45,615,525.0,11,678,0m0.004s,0m23.767s,907
Jun18_2020-08,login5,67,488.8,637,540.0,11,726,0m0.005s,0m24.316s,907
Jun18_2020-09,login5,69,492.98,638,535.0,12,704,0m0.004s,0m24.276s,907
Jun18_2020-10,login5,69,492.76,634,525.0,12,833,0m0.004s,0m24.323s,909
Jun18_2020-11,login5,68,487.88,635,495.1,12,941,0m0.005s,0m24.277s,905
Jun18_2020-12,login5,71,489.78,640,509.3,11,912,0m0.004s,0m24.209s,906
Jun18_2020-13,login5,68,503.01,626,499.8,11,1032,0m0.004s,0m23.734s,906
Jun18_2020-14,login5,66,491.88,612,30.0,12,1090,0m0.004s,0m23.969s,907
Jun18_2020-15,login5,63,494.41,614,418.9,11,1122,0m0.006s,0m23.828s,907
Jun18_2020-16,login5,64,496.51,630,435.0,50,1109,0m0.004s,0m23.854s,906
Jun18_2020-17,login5,67,499.36,626,123.8,66,1134,0m0.005s,0m23.743s,905
Jun18_2020-18,login5,72,509.0,651,130.0,108,1086,0m0.004s,0m24.014s,907
Jun18_2020-19,login5,71,509.7,645,28.6,120,1003,0m0.004s,0m24.679s,907
Jun18_2020-20,login5,72,509.04,645,19.0,101,918,0m0.003s,0m23.832s,907
Jun18_2020-21,login5,69,510.0,641,33.4,96,914,0m0.003s,0m23.848s,907
Jun18_2020-22,login5,64,526.92,605,123.8,117,927,0m0.003s,0m24.340s,906
Jun18_2020-23,login5,60,244.64,594,25.0,121,878,0m0.003s,0m23.711s,906
Jun27_2020-00,login5,60,429.19,676,85.7,147,1134,0m0.004s,0m23.744s,924
Jun27_2020-01,login5,57,428.87,667,80.9,167,1043,0m0.004s,0m23.849s,925
Jun27_2020-02,login5,54,428.5,660,71.4,122,958,0m0.004s,0m23.724s,926
Jun27_2020-03,login5,53,428.63,659,71.4,57,884,0m0.004s,0m24.110s,925
Jun27_2020-04,login5,52,428.36,658,81.0,53,775,0m0.004s,0m23.679s,924
Jun27_2020-05,login5,50,428.15,653,80.0,51,675,0m0.004s,0m23.783s,924
Jun27_2020-06,login5,49,427.83,650,90.0,46,677,0m0.004s,0m23.848s,925
Jun27_2020-07,login5,48,426.76,643,75.0,74,701,0m0.004s,0m23.814s,925
Jun27_2020-08,login5,49,427.24,653,171.4,74,717,0m0.004s,0m23.748s,924
Jun27_2020-09,login5,50,427.09,648,71.4,126,780,0m0.004s,0m23.752s,924
Jun27_2020-10,login5,52,426.52,649,35.0,65,774,0m0.004s,0m23.909s,924
Jun27_2020-11,login5,56,427.65,660,33.4,82,890,0m0.004s,0m23.695s,925
Jun27_2020-12,login5,57,429.54,672,119.0,78,758,0m0.004s,0m23.678s,925
Jun27_2020-13,login5,63,430.09,690,95.2,108,808,0m0.004s,0m23.883s,925
