date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Mar24_2021-00,login4,48,418.88,447,126.4,151,817,0m0.004s,0m2.375s,904
Mar24_2021-01,login4,42,418.5,466,521.1,104,750,0m0.004s,0m2.545s,906
Mar24_2021-02,login4,38,421.3,427,273.7,94,647,0m0.004s,0m2.486s,906
Mar24_2021-03,login4,39,422.53,431,168.5,83,580,0m0.004s,0m2.358s,906
Mar24_2021-04,login4,37,423.24,416,173.8,51,553,0m0.004s,0m2.380s,906
Mar24_2021-05,login4,37,420.2,414,73.7,29,518,0m0.004s,0m2.364s,907
Mar24_2021-06,login4,36,422.63,407,65.0,51,492,0m0.004s,0m2.339s,906
Mar24_2021-07,login4,35,425.07,404,68.4,50,470,0m0.004s,0m2.394s,906
Mar24_2021-08,login4,39,425.88,421,73.7,28,479,0m0.004s,0m2.414s,905
Mar24_2021-09,login4,46,428.84,438,73.7,42,555,0m0.004s,0m2.395s,905
Mar24_2021-10,login4,55,423.44,462,21.1,77,616,0m0.004s,0m2.419s,904
Mar24_2021-11,login4,65,435.25,502,180.0,114,790,0m0.004s,0m2.392s,905
Mar24_2021-12,login4,71,445.3,512,75.0,181,944,0m0.004s,0m2.493s,906
Mar24_2021-13,login4,83,447.69,548,75.0,139,751,0m0.004s,0m2.384s,906
Mar24_2021-14,login4,82,453.29,562,170.0,74,906,0m0.004s,0m2.382s,906
Mar24_2021-15,login4,81,454.24,563,180.0,62,839,0m0.005s,0m2.402s,906
Mar24_2021-16,login4,83,455.53,567,75.0,55,912,0m0.004s,0m2.397s,906
Mar24_2021-17,login4,77,460.26,551,130.0,59,920,0m0.005s,0m2.646s,906
Mar24_2021-18,login4,72,464.49,544,75.0,65,993,0m0.004s,0m2.401s,907
Mar24_2021-19,login4,73,468.52,560,380.0,144,986,0m0.005s,0m2.391s,906
Mar24_2021-20,login4,74,466.94,545,75.0,122,964,0m0.004s,0m2.410s,905
Mar24_2021-21,login4,73,468.26,539,138.1,62,928,0m0.004s,0m2.417s,905
Mar24_2021-22,login4,65,470.73,547,757.0,65,951,0m0.006s,0m2.554s,906
Mar24_2021-23,login4,63,464.42,514,147.4,60,934,0m0.004s,0m2.362s,905
Mar18_2021-00,login3,38,164.87,203,15.8,107,855,0m0.004s,0m2.340s,895
Mar18_2021-01,login3,37,165.06,199,21.1,188,1025,0m0.004s,0m2.351s,894
Mar18_2021-02,login3,36,164.85,202,27.8,125,911,0m0.004s,0m2.360s,894
Mar18_2021-03,login3,35,164.95,197,15.8,124,829,0m0.004s,0m2.381s,894
