date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
May03_2020-00,login4,62,479.33,1107,240.7,68,530,0m0.004s,0m24.340s,830
May03_2020-01,login4,59,481.77,1098,263.7,59,508,0m0.004s,0m23.905s,829
May03_2020-02,login4,58,481.69,1092,295.4,69,473,0m0.004s,0m24.361s,829
May03_2020-03,login4,58,487.28,1094,518.1,60,464,0m0.003s,0m23.936s,828
May03_2020-04,login4,56,487.05,1091,545.3,88,434,0m0.003s,0m24.700s,829
May03_2020-05,login4,55,485.75,1085,77.3,77,391,0m0.004s,0m23.840s,829
May03_2020-06,login4,57,486.46,1091,113.5,69,372,0m0.004s,0m23.815s,830
May03_2020-07,login4,55,485.81,1085,181.5,77,364,0m0.004s,0m23.732s,830
May03_2020-08,login4,57,486.05,1088,104.4,79,375,0m0.004s,0m23.793s,830
May03_2020-09,login4,56,485.88,1086,81.8,51,357,0m0.004s,0m23.969s,830
May03_2020-10,login4,55,485.75,1087,154.5,27,385,0m0.004s,0m23.967s,830
May03_2020-11,login4,57,485.82,1089,168.1,25,378,0m0.004s,0m23.882s,830
May03_2020-12,login4,61,487.83,1106,86.2,26,380,0m0.003s,0m23.925s,829
May03_2020-13,login4,62,488.66,1110,112.9,78,401,0m0.004s,0m24.847s,910
May03_2020-14,login4,65,488.45,1116,95.3,67,416,0m0.004s,0m24.766s,911
May03_2020-15,login4,67,489.43,1127,95.3,67,426,0m0.003s,0m23.789s,912
May03_2020-16,login4,70,492.32,1131,72.7,66,435,0m0.003s,0m23.665s,913
May03_2020-17,login4,67,492.3,1147,281.6,104,422,0m0.004s,0m24.864s,913
May03_2020-18,login4,68,497.3,1137,308.7,83,423,0m0.003s,0m23.824s,913
May03_2020-19,login4,68,483.12,1124,40.8,91,424,0m0.004s,0m23.810s,913
May03_2020-20,login4,67,483.46,1123,54.4,92,371,0m0.003s,0m23.795s,910
May03_2020-21,login4,64,483.63,1119,158.9,92,403,0m0.003s,0m24.258s,911
May03_2020-22,login4,68,484.24,1119,63.4,95,423,0m0.004s,0m23.921s,911
May03_2020-23,login4,62,483.63,1109,49.9,71,454,0m0.004s,0m23.976s,911
May12_2020-00,login3,35,525.81,1192,40.8,101,535,0m0.003s,0m23.789s,903
May12_2020-01,login3,35,525.81,1192,49.8,82,488,0m0.003s,0m23.817s,903
May12_2020-02,login3,35,525.8,1192,31.7,74,471,0m0.003s,0m24.144s,903
May12_2020-03,login3,34,525.64,1190,40.7,71,429,0m0.003s,0m23.744s,903
May12_2020-04,login3,34,525.77,1190,40.8,70,431,0m0.003s,0m23.835s,905
May12_2020-05,login3,33,525.56,1188,40.7,50,399,0m0.003s,0m24.094s,905
May12_2020-06,login3,33,526.02,1188,40.8,40,465,0m0.003s,0m23.726s,905
May12_2020-07,login3,32,526.19,1186,45.2,23,394,0m0.003s,0m23.729s,905
May12_2020-08,login3,32,501.15,1111,38.2,0,384,0m0.003s,-,875
May12_2020-09,login3,31,500.91,1110,40.8,0,368,0m0.003s,-,877
May12_2020-13,login3,13,44.3,62,116.7,161,481,0m0.002s,0m23.715s,453
May12_2020-14,login3,27,47.68,102,100.0,159,630,0m0.003s,0m23.725s,682
May12_2020-15,login3,37,51.93,129,16.7,96,713,0m0.003s,0m23.851s,682
May12_2020-16,login3,45,59.81,192,121.1,89,676,0m0.003s,0m23.780s,683
May12_2020-17,login3,49,77.46,207,121.1,80,647,0m0.003s,0m24.139s,682
May12_2020-18,login3,39,78.78,217,121.0,77,644,0m0.003s,0m23.755s,682
May12_2020-19,login3,36,82.49,179,321.1,80,629,0m0.003s,0m23.973s,682
May12_2020-20,login3,32,77.9,156,73.7,85,608,0m0.003s,0m23.938s,682
May12_2020-21,login3,31,77.7,152,68.5,112,690,0m0.003s,0m23.800s,682
May12_2020-22,login3,28,77.08,118,27.8,110,662,0m0.003s,0m23.697s,682
May12_2020-23,login3,28,79.07,116,15.8,112,689,0m0.003s,0m23.692s,682
May20_2020-00,login1,42,72.31,157,10.5,87,718,0m0.003s,0m24.024s,693
May20_2020-01,login1,43,74.09,165,16.7,105,721,0m0.003s,0m23.736s,692
May20_2020-02,login1,41,73.94,158,52.6,114,668,0m0.003s,0m23.679s,693
May20_2020-03,login1,44,83.75,304,1580.0,100,631,0m0.003s,0m25.176s,693
May20_2020-04,login1,45,76.54,164,26.3,94,615,0m0.003s,0m23.685s,693
May20_2020-05,login1,42,76.22,157,31.6,85,549,0m0.003s,0m23.702s,693
May20_2020-06,login1,35,75.03,142,16.7,68,528,0m0.003s,0m23.685s,693
May20_2020-07,login1,37,75.87,154,110.5,62,509,0m0.003s,0m24.074s,694
May20_2020-08,login1,37,78.82,157,84.3,62,504,0m0.003s,0m23.763s,905
May20_2020-09,login1,38,79.09,159,11.1,62,523,0m0.003s,0m23.773s,905
May20_2020-10,login1,42,90.31,172,15.8,50,510,0m0.003s,0m23.807s,905
May20_2020-11,login1,50,99.68,195,27.8,81,581,0m0.003s,0m23.847s,903
May20_2020-12,login1,54,113.43,234,421.1,93,667,0m0.003s,0m24.192s,904
May20_2020-13,login1,56,123.81,259,1210.5,90,681,0m0.003s,0m24.448s,905
May20_2020-14,login1,58,134.07,280,1078.7,94,707,0m0.003s,0m23.927s,904
May20_2020-15,login1,61,131.13,243,110.5,88,834,0m0.003s,0m24.802s,905
May20_2020-16,login1,64,137.97,248,394.6,101,924,0m0.003s,0m24.825s,906
May20_2020-17,login1,66,148.85,242,427.8,71,910,0m0.003s,0m23.711s,906
May20_2020-18,login1,65,161.56,242,115.8,84,905,0m0.003s,0m23.703s,906
May20_2020-19,login1,71,166.31,269,55.5,106,855,0m0.003s,0m24.070s,905
May20_2020-20,login1,69,168.43,248,131.7,122,853,0m0.003s,0m23.655s,905
May20_2020-21,login1,65,175.14,252,126.4,116,818,0m0.003s,0m24.019s,905
May20_2020-22,login1,60,176.21,250,557.8,109,712,0m0.003s,0m23.881s,906
May20_2020-23,login1,59,174.74,203,21.1,116,686,0m0.003s,0m23.689s,904
May02_2020-00,login3,54,518.02,1206,86.1,101,559,0m0.003s,0m36.047s,688
May02_2020-01,login3,52,523.3,1203,99.8,82,510,0m0.003s,0m39.643s,690
May02_2020-02,login3,51,520.51,1195,49.9,76,448,0m0.003s,0m31.304s,690
May02_2020-03,login3,50,522.25,1192,45.3,54,418,0m0.003s,0m27.828s,690
May02_2020-04,login3,47,518.39,1173,45.3,36,378,0m0.003s,0m31.613s,690
May02_2020-05,login3,48,511.08,1174,90.7,38,353,0m0.003s,0m35.894s,690
May02_2020-06,login3,46,511.05,1171,58.9,34,358,0m0.003s,0m26.917s,689
May02_2020-07,login3,45,510.65,1168,36.3,37,343,0m0.003s,0m39.150s,689
May02_2020-08,login3,47,510.88,1170,40.8,41,337,0m0.003s,0m23.775s,689
May02_2020-09,login3,47,510.94,1173,39.0,43,346,0m0.003s,0m23.798s,689
May02_2020-10,login3,50,511.52,1181,45.4,54,452,0m0.003s,0m23.857s,689
May02_2020-11,login3,56,512.21,1197,72.6,62,519,0m0.003s,0m23.802s,689
May02_2020-12,login3,55,512.42,1197,40.8,62,575,0m0.003s,0m23.790s,689
May02_2020-13,login3,57,512.83,1207,40.7,67,679,0m0.003s,0m23.836s,689
May02_2020-14,login3,57,512.72,1203,45.2,124,623,0m0.003s,0m23.598s,689
May02_2020-15,login3,55,512.75,1197,58.8,164,636,0m0.003s,0m23.757s,690
May02_2020-16,login3,57,513.58,1196,36.3,75,609,0m0.003s,0m23.754s,690
May02_2020-17,login3,58,513.93,1206,49.8,48,498,0m0.003s,0m23.780s,689
May02_2020-18,login3,59,514.51,1207,31.8,81,501,0m0.003s,0m23.899s,690
May02_2020-19,login3,56,514.15,1201,49.8,96,506,0m0.003s,0m23.794s,688
May02_2020-20,login3,58,511.96,1215,199.5,54,508,0m0.003s,0m24.030s,689
May02_2020-21,login3,58,509.87,1211,67.9,47,525,0m0.003s,0m23.718s,689
May02_2020-22,login3,59,516.74,1221,186.3,67,567,0m0.003s,0m25.198s,689
May02_2020-23,login3,53,510.39,1201,54.4,92,577,0m0.003s,0m23.752s,689
May26_2020-00,login3,29,337.4,156,22.2,104,532,0m0.003s,0m23.697s,907
May26_2020-01,login3,26,336.52,146,61.1,119,522,0m0.003s,0m24.235s,907
May26_2020-02,login3,25,336.48,140,15.8,105,506,0m0.003s,0m23.744s,906
May26_2020-03,login3,24,336.32,135,22.3,111,476,0m0.003s,0m23.920s,906
May26_2020-04,login3,23,335.93,130,22.3,111,453,0m0.003s,0m23.673s,907
May26_2020-05,login3,24,336.01,130,16.7,100,419,0m0.003s,0m23.705s,907
May26_2020-06,login3,23,335.88,129,15.8,115,424,0m0.003s,0m23.794s,907
May26_2020-07,login3,22,335.75,127,55.6,115,412,0m0.003s,0m23.747s,907
May26_2020-08,login3,23,335.84,129,22.3,114,393,0m0.003s,0m23.790s,903
