date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Nov16_2020-00,login3,26,481.46,316,15.8,49,663,0m0.005s,0m3.895s,881
Nov16_2020-01,login3,25,481.61,314,10.5,64,655,0m0.005s,0m3.907s,881
Nov16_2020-02,login3,24,481.21,309,21.1,78,673,0m0.005s,0m3.935s,881
Nov16_2020-03,login3,23,481.09,309,21.1,56,657,0m0.005s,0m3.863s,881
Nov16_2020-04,login3,23,481.1,307,10.5,46,666,0m0.007s,0m3.934s,882
Nov16_2020-05,login3,23,481.07,307,31.6,51,628,0m0.005s,0m3.978s,882
Nov16_2020-06,login3,23,480.92,306,10.5,41,590,0m0.005s,0m3.897s,880
Nov16_2020-07,login3,23,480.92,307,15.8,51,574,0m0.005s,0m3.892s,880
Nov16_2020-08,login3,24,482.08,310,15.8,56,635,0m0.005s,0m3.887s,881
Nov16_2020-09,login3,25,482.2,311,10.5,79,617,0m0.005s,0m3.886s,881
Nov16_2020-10,login3,30,485.02,335,36.9,65,614,0m0.005s,0m3.939s,881
Nov16_2020-11,login3,34,487.25,349,21.1,97,1083,0m0.005s,0m4.261s,881
Nov16_2020-12,login3,44,483.42,390,21.1,123,1142,0m0.005s,0m3.874s,882
Nov16_2020-13,login3,52,489.46,406,25.0,117,1003,0m0.005s,0m3.950s,882
Nov16_2020-14,login3,51,487.79,414,25.0,95,855,0m0.005s,0m3.872s,882
Nov16_2020-15,login3,49,493.64,408,30.0,120,750,0m0.005s,0m3.895s,882
Nov16_2020-16,login3,55,492.05,428,20.0,152,1356,0m0.005s,0m3.885s,882
Nov16_2020-17,login3,55,492.89,426,15.0,190,1498,0m0.007s,0m4.098s,882
Nov16_2020-18,login3,54,492.34,419,25.0,118,1102,0m0.005s,0m3.922s,883
Nov16_2020-19,login3,49,491.37,405,20.0,98,924,0m0.005s,0m4.020s,885
Nov16_2020-20,login3,45,488.85,392,21.1,71,969,0m0.005s,0m3.911s,885
Nov16_2020-21,login3,36,490.89,373,21.1,116,824,0m0.005s,0m3.879s,885
Nov16_2020-22,login3,33,490.34,366,21.1,113,793,0m0.005s,0m3.911s,885
Nov16_2020-23,login3,33,491.66,365,26.3,121,886,0m0.005s,0m3.882s,885
Nov11_2020-00,login2,61,477.01,421,420.0,258,1057,0m0.006s,0m5.104s,885
Nov11_2020-01,login2,57,480.3,404,305.0,252,1028,0m0.008s,0m3.906s,886
Nov11_2020-02,login2,55,475.53,399,335.0,245,1002,0m0.006s,0m3.879s,886
Nov11_2020-03,login2,51,475.03,371,26.4,223,976,0m0.006s,0m3.898s,885
Nov11_2020-04,login2,52,476.04,364,21.1,208,888,0m0.006s,0m3.910s,885
Nov11_2020-05,login2,51,476.69,360,31.6,198,860,0m0.006s,0m3.938s,886
Nov11_2020-06,login2,52,477.72,361,45.0,186,833,0m0.006s,0m4.278s,886
Nov11_2020-07,login2,53,477.22,362,20.0,184,797,0m0.006s,0m3.891s,885
Nov11_2020-08,login2,57,480.96,369,40.0,192,882,0m0.007s,0m3.904s,885
Nov11_2020-09,login2,60,483.34,384,150.0,188,843,0m0.005s,0m4.110s,885
Nov11_2020-10,login2,67,489.04,409,120.0,200,1194,0m0.008s,0m4.710s,888
Nov11_2020-11,login2,68,487.89,393,20.0,222,1166,0m0.006s,0m4.087s,889
Nov11_2020-12,login2,73,452.53,454,740.0,207,995,0m0.007s,0m3.918s,889
Nov11_2020-13,login2,75,457.55,439,35.0,142,938,0m0.006s,0m3.882s,888
Nov11_2020-14,login2,85,474.85,472,230.0,128,948,0m0.006s,0m3.896s,893
Nov11_2020-15,login2,85,482.41,475,42.2,129,995,0m0.006s,0m3.898s,893
Nov11_2020-16,login2,86,485.0,484,130.0,123,850,0m0.006s,0m3.924s,896
Nov11_2020-17,login2,81,485.73,475,220.0,159,1168,0m0.006s,0m3.912s,895
Nov11_2020-18,login2,77,489.44,463,325.0,192,1564,0m0.006s,0m3.885s,894
Nov11_2020-19,login2,75,487.39,461,100.0,165,1363,0m0.006s,0m3.911s,894
Nov11_2020-20,login2,70,483.33,434,95.0,178,1323,0m0.006s,0m3.907s,894
Nov11_2020-21,login2,66,482.79,413,31.6,187,1299,0m0.005s,0m3.963s,894
Nov11_2020-22,login2,63,483.82,406,21.1,215,1297,0m0.006s,0m4.003s,895
Nov11_2020-23,login2,60,483.29,399,25.0,250,1284,0m0.006s,0m3.874s,895
Nov09_2020-00,login4,57,438.03,423,30.0,44,544,0m0.005s,0m3.982s,875
Nov09_2020-01,login4,53,447.44,412,21.1,43,923,0m0.005s,0m3.873s,616
Nov09_2020-02,login4,54,444.91,413,31.6,79,915,0m0.005s,0m3.868s,617
Nov09_2020-03,login4,54,448.88,408,126.4,94,900,0m0.005s,0m3.883s,617
Nov09_2020-04,login4,51,453.15,401,135.0,93,884,0m0.005s,0m3.989s,617
Nov09_2020-05,login4,50,438.48,393,21.1,76,898,0m0.005s,0m3.888s,700
