date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Oct09_2020-00,login1,49,493.32,345,125.0,80,1696,0m0.006s,0m3.972s,710
Oct09_2020-01,login1,47,492.99,338,30.0,67,1241,0m0.005s,0m3.912s,709
Oct09_2020-02,login1,44,494.38,335,38.1,166,1181,0m0.005s,0m3.909s,709
Oct09_2020-03,login1,45,496.03,346,36.9,222,1141,0m0.005s,0m3.929s,709
Oct09_2020-04,login1,44,497.15,343,121.1,256,1140,0m0.004s,0m3.918s,709
Oct09_2020-05,login1,45,497.73,344,115.0,228,1076,0m0.005s,0m3.901s,709
Oct09_2020-06,login1,43,496.53,327,26.4,216,1008,0m0.005s,0m3.971s,708
Oct09_2020-07,login1,45,496.85,331,57.9,231,885,0m0.005s,0m3.914s,709
Oct09_2020-08,login1,45,477.51,309,21.1,12,842,0m0.004s,-,840
Oct09_2020-09,login1,44,478.96,304,31.7,2,545,0m0.004s,0m4.084s,867
Oct09_2020-10,login1,51,482.05,337,15.8,14,507,0m0.004s,0m4.247s,867
Oct09_2020-11,login1,60,483.13,348,26.3,70,838,0m0.004s,0m4.094s,869
Oct09_2020-12,login1,68,487.93,368,25.0,97,1001,0m0.004s,0m3.911s,870
Oct09_2020-13,login1,75,493.57,404,431.6,103,997,0m0.005s,0m4.149s,873
Oct09_2020-14,login1,83,498.82,454,450.0,131,1093,0m0.005s,0m4.616s,873
Oct09_2020-15,login1,81,501.59,426,220.0,137,1163,0m0.006s,0m3.921s,873
Oct09_2020-16,login1,78,502.17,513,195.0,131,1200,0m0.004s,0m3.941s,873
Oct09_2020-17,login1,70,467.32,429,30.0,128,1085,0m0.004s,0m4.400s,873
Oct09_2020-18,login1,60,466.25,361,45.0,85,1074,0m0.004s,0m3.917s,873
Oct09_2020-19,login1,60,468.28,362,40.0,107,1114,0m0.004s,0m3.902s,873
Oct09_2020-20,login1,56,469.39,347,26.4,109,993,0m0.004s,0m3.932s,874
Oct09_2020-21,login1,54,468.87,345,26.4,71,919,0m0.004s,0m3.902s,876
Oct09_2020-22,login1,53,469.65,338,21.1,52,842,0m0.004s,0m3.924s,875
