date-hour,login-node,wusers,memory-used,running-process,cpu_usage %,running-jobs,total-jobs,time-to-ls,time-for-1G,df-usage
Sep14_2020-00,login5,62,501.9,583,220.0,64,720,0m0.004s,0m3.934s,871
Sep14_2020-01,login5,61,502.34,573,181.0,66,749,0m0.004s,0m3.913s,719
Sep14_2020-02,login5,56,501.42,518,125.0,69,709,0m0.004s,0m3.937s,719
Sep14_2020-03,login5,55,501.35,512,30.0,67,666,0m0.005s,0m3.956s,719
Sep14_2020-04,login5,54,502.1,517,135.0,65,653,0m0.004s,0m3.954s,719
Sep14_2020-05,login5,53,501.92,512,125.0,63,628,0m0.004s,0m3.881s,719
Sep14_2020-06,login5,54,502.16,514,140.0,66,625,0m0.005s,0m3.933s,719
Sep14_2020-07,login5,52,502.31,512,110.0,65,613,0m0.004s,0m3.924s,719
Sep14_2020-08,login5,57,503.08,530,115.0,62,699,0m0.004s,0m3.996s,719
Sep14_2020-09,login5,59,504.62,546,57.2,76,792,0m0.004s,0m3.948s,872
Sep14_2020-10,login5,65,506.19,604,230.0,76,819,0m0.004s,0m3.960s,873
Sep14_2020-11,login5,73,505.32,589,150.0,150,934,0m0.004s,0m3.883s,873
Sep14_2020-12,login5,80,512.21,624,252.4,83,954,0m0.004s,0m4.133s,872
Sep14_2020-13,login5,86,510.09,629,165.0,117,863,0m0.004s,0m3.920s,872
Sep14_2020-14,login5,87,511.43,635,195.0,89,775,0m0.004s,0m3.898s,872
Sep14_2020-15,login5,88,502.66,676,176.3,99,769,0m0.004s,0m3.866s,872
Sep14_2020-16,login5,91,506.1,691,355.0,106,773,0m0.004s,0m3.961s,872
Sep14_2020-17,login5,90,502.11,718,338.0,103,760,0m0.004s,0m3.865s,873
Sep14_2020-18,login5,90,493.32,778,1854.3,80,742,0m0.008s,0m4.504s,873
Sep14_2020-19,login5,90,509.08,674,228.5,50,698,0m0.004s,0m3.955s,872
Sep14_2020-20,login5,85,498.69,728,980.8,15,679,0m0.007s,0m4.352s,873
Sep14_2020-21,login5,79,490.53,649,142.8,50,705,0m0.004s,0m3.907s,874
Sep14_2020-22,login5,81,488.54,674,266.7,39,633,0m0.004s,0m3.930s,874
Sep14_2020-23,login5,74,490.46,642,228.5,17,594,0m0.004s,0m3.937s,874
Sep21_2020-00,login4,43,372.56,246,21.1,61,737,0m0.004s,0m3.973s,859
Sep21_2020-01,login4,43,373.56,242,15.8,59,726,0m0.004s,0m3.864s,859
Sep21_2020-02,login4,39,372.29,233,44.5,47,715,0m0.004s,0m3.858s,859
Sep21_2020-03,login4,37,372.64,226,15.8,46,732,0m0.004s,0m3.872s,861
Sep21_2020-04,login4,37,375.01,258,635.0,42,743,0m0.004s,0m3.872s,861
Sep21_2020-05,login4,35,370.54,218,15.8,70,722,0m0.004s,0m3.914s,861
Sep21_2020-06,login4,38,372.19,259,121.1,54,697,0m0.004s,0m3.890s,861
Sep21_2020-07,login4,39,372.0,232,27.8,59,669,0m0.004s,0m3.895s,861
Sep21_2020-08,login4,42,374.83,297,133.4,64,701,0m0.004s,0m3.920s,862
Sep21_2020-09,login4,45,376.06,325,172.3,68,739,0m0.004s,0m4.016s,862
Sep21_2020-10,login4,49,377.27,336,168.5,77,744,0m0.004s,0m3.877s,862
Sep21_2020-11,login4,55,378.72,355,252.7,92,806,0m0.005s,0m3.871s,859
Sep21_2020-12,login4,58,390.52,695,1712.5,89,806,0m0.008s,0m5.644s,859
Sep21_2020-13,login4,63,391.3,362,284.3,146,961,0m0.004s,0m3.915s,862
Sep21_2020-14,login4,70,394.16,325,121.1,139,1133,0m0.004s,0m3.892s,862
Sep21_2020-15,login4,74,396.12,341,300.0,180,1088,0m0.004s,0m3.874s,861
Sep21_2020-16,login4,79,399.07,384,210.0,226,1061,0m0.004s,0m3.919s,862
Sep21_2020-17,login4,80,408.28,410,921.1,141,1060,0m0.004s,0m3.969s,861
Sep21_2020-18,login4,76,396.91,361,128.5,95,1009,0m0.004s,0m4.319s,861
Sep21_2020-19,login4,76,405.28,342,515.8,94,899,0m0.004s,0m3.881s,861
Sep21_2020-20,login4,74,402.25,325,100.0,105,920,0m0.004s,0m31.769s,863
Sep21_2020-21,login4,70,401.44,314,120.0,99,850,0m0.004s,0m3.880s,862
Sep21_2020-22,login4,63,405.58,297,115.0,115,844,0m0.004s,0m3.900s,862
Sep21_2020-23,login4,56,402.35,274,189.5,116,876,0m0.004s,0m3.873s,862
Sep06_2020-00,login3,27,498.46,330,21.1,59,674,0m0.003s,0m3.891s,573
Sep06_2020-01,login3,28,498.79,332,26.3,65,780,0m0.003s,0m3.872s,571
Sep06_2020-02,login3,28,498.79,332,15.8,83,759,0m0.003s,0m3.895s,571
Sep06_2020-03,login3,27,498.65,330,20.0,97,732,0m0.003s,0m3.946s,572
Sep06_2020-04,login3,27,498.64,331,26.4,88,689,0m0.003s,0m3.895s,572
Sep06_2020-05,login3,27,498.68,331,25.0,80,661,0m0.004s,0m4.736s,572
Sep06_2020-06,login3,27,498.71,330,21.1,66,649,0m0.003s,0m4.019s,572
Sep06_2020-07,login3,27,498.71,330,10.5,61,617,0m0.003s,0m3.917s,573
Sep06_2020-08,login3,27,498.72,330,21.1,61,606,0m0.003s,0m3.885s,573
Sep06_2020-09,login3,27,498.73,332,47.4,60,684,0m0.003s,0m3.940s,573
Sep06_2020-10,login3,27,498.7,330,20.0,53,678,0m0.003s,0m3.902s,574
Sep06_2020-11,login3,27,498.72,330,20.0,51,704,0m0.003s,0m3.894s,575
Sep06_2020-12,login3,27,498.79,332,15.8,43,797,0m0.003s,0m3.870s,575
Sep06_2020-13,login3,27,498.79,330,10.5,62,1250,0m0.003s,0m3.933s,575
Sep06_2020-14,login3,26,498.8,328,25.0,93,1137,0m0.003s,0m3.859s,575
Sep06_2020-15,login3,26,498.81,329,26.4,103,1110,0m0.004s,0m3.896s,574
Sep06_2020-16,login3,26,498.81,329,21.1,112,1125,0m0.004s,0m3.882s,574
Sep06_2020-17,login3,26,498.81,330,10.5,130,1114,0m0.003s,0m3.889s,574
Sep06_2020-18,login3,26,498.81,329,15.8,276,1193,0m0.003s,0m3.907s,575
Sep06_2020-19,login3,26,498.81,329,15.8,319,1170,0m0.003s,0m3.875s,575
Sep06_2020-20,login3,26,498.82,329,21.1,327,1193,0m0.003s,0m3.912s,575
Sep06_2020-21,login3,26,498.82,329,21.1,322,1164,0m0.003s,0m3.866s,575
Sep06_2020-22,login3,26,499.68,369,521.2,319,1234,0m0.003s,0m3.884s,575
Sep06_2020-23,login3,26,498.9,330,36.8,306,1207,0m0.003s,0m3.912s,575
Sep12_2020-00,login5,77,499.98,634,325.0,89,840,0m0.004s,0m4.117s,791
Sep12_2020-01,login5,75,497.02,616,25.0,68,814,0m0.003s,0m3.867s,789
Sep12_2020-02,login5,73,497.73,608,35.0,66,782,0m0.003s,0m4.564s,789
Sep12_2020-03,login5,67,498.05,590,60.0,69,769,0m0.004s,0m4.190s,790
Sep12_2020-04,login5,62,496.8,558,50.0,62,765,0m0.003s,0m3.864s,790
Sep12_2020-05,login5,61,497.88,564,65.0,61,743,0m0.003s,0m3.891s,790
Sep12_2020-06,login5,60,498.21,559,40.0,61,731,0m0.004s,0m3.937s,791
Sep12_2020-07,login5,57,497.19,542,35.0,58,719,0m0.003s,0m3.875s,791
Sep12_2020-08,login5,57,497.13,542,63.3,54,705,0m0.003s,0m3.925s,791
Sep12_2020-09,login5,59,497.32,544,30.0,60,699,0m0.003s,0m3.935s,790
Sep12_2020-10,login5,61,498.02,547,25.0,62,699,0m0.004s,0m4.302s,790
Sep12_2020-11,login5,67,500.37,564,30.0,169,836,0m0.003s,0m3.861s,789
Sep12_2020-12,login5,72,501.75,592,75.0,70,805,0m0.003s,0m6.031s,789
Sep12_2020-13,login5,69,503.23,572,185.0,49,696,0m0.003s,0m6.039s,789
Sep12_2020-14,login5,66,505.84,558,155.0,25,674,0m0.004s,0m6.662s,788
Sep12_2020-15,login5,62,501.43,544,45.0,10,667,0m0.003s,0m6.581s,790
Sep12_2020-16,login5,67,501.58,571,100.0,61,668,0m0.004s,0m6.143s,790
Sep12_2020-17,login5,68,502.67,579,130.0,59,700,0m0.004s,0m3.911s,790
Sep12_2020-18,login5,68,490.61,583,125.0,34,705,0m0.004s,0m3.881s,787
Sep12_2020-19,login5,65,491.5,610,220.0,46,653,0m0.004s,0m3.983s,787
Sep12_2020-20,login5,63,492.79,594,120.0,52,652,0m0.004s,0m3.924s,788
Sep12_2020-21,login5,60,492.93,580,125.0,58,650,0m0.004s,5m10.825s,787
Sep12_2020-22,login5,59,491.52,579,130.0,63,638,0m0.004s,0m3.852s,788
Sep12_2020-23,login5,60,491.97,589,200.0,82,706,0m0.004s,0m3.921s,788
Sep08_2020-00,login2,45,494.17,545,25.0,123,823,0m0.003s,0m3.968s,865
Sep08_2020-01,login2,45,494.13,536,15.0,105,813,0m0.003s,0m3.906s,866
Sep08_2020-02,login2,42,493.95,525,25.0,69,770,0m0.003s,0m3.887s,866
Sep08_2020-03,login2,43,494.24,529,25.0,74,722,0m0.003s,0m3.884s,865
Sep08_2020-04,login2,41,494.97,523,230.0,59,696,0m0.003s,0m3.904s,865
Sep08_2020-05,login2,41,494.26,526,125.0,56,662,0m0.004s,0m4.029s,865
Sep08_2020-06,login2,42,494.47,530,105.0,55,658,0m0.003s,0m4.063s,865
Sep08_2020-07,login2,43,494.61,539,110.0,54,673,0m0.004s,0m3.986s,865
Sep08_2020-08,login2,47,500.2,565,150.0,45,652,0m0.003s,0m3.892s,866
Sep08_2020-09,login2,57,501.8,582,35.0,63,850,0m0.003s,0m3.862s,866
Sep08_2020-10,login2,63,503.31,606,145.0,73,964,0m0.003s,0m3.931s,866
Sep08_2020-11,login2,68,505.74,631,270.0,105,880,0m0.003s,0m4.106s,866
Sep08_2020-12,login2,76,495.36,659,225.0,132,924,0m0.003s,0m4.001s,866
Sep08_2020-13,login2,83,504.14,706,966.7,109,1015,0m0.006s,0m3.952s,867
Sep08_2020-14,login2,84,505.1,733,1057.2,96,876,0m0.004s,0m4.107s,867
Sep08_2020-15,login2,82,505.86,785,2204.8,110,1030,0m0.005s,0m4.547s,868
Sep08_2020-16,login2,82,486.3,679,70.0,112,1026,0m0.003s,0m4.009s,867
Sep08_2020-17,login2,88,496.27,700,376.1,126,995,0m0.003s,0m4.144s,867
Sep08_2020-18,login2,78,489.03,678,576.3,114,973,0m0.004s,0m4.001s,868
Sep08_2020-19,login2,77,486.74,641,85.7,101,993,0m0.003s,0m4.692s,867
Sep08_2020-20,login2,71,486.48,620,120.0,92,875,0m0.004s,0m3.933s,866
Sep08_2020-21,login2,70,492.01,618,120.0,98,892,0m0.003s,0m3.893s,867
Sep08_2020-22,login2,64,490.67,594,85.0,99,916,0m0.004s,0m3.930s,868
Sep08_2020-23,login2,62,493.37,641,120.0,94,863,0m0.003s,0m4.038s,867
Sep17_2020-00,login1,35,181.21,198,22.2,56,1081,0m0.003s,0m3.913s,857
Sep17_2020-01,login1,33,195.53,198,15.8,51,1091,0m0.003s,0m3.908s,857
Sep17_2020-02,login1,30,191.81,191,10.5,43,1166,0m0.003s,0m3.865s,857
Sep17_2020-03,login1,32,192.51,190,15.8,72,1085,0m0.003s,0m3.874s,857
Sep17_2020-04,login1,32,192.74,191,31.6,64,1017,0m0.003s,0m3.963s,858
Sep17_2020-05,login1,31,192.58,187,15.8,37,937,0m0.003s,0m3.912s,858
Sep17_2020-06,login1,31,192.63,194,31.6,41,922,0m0.003s,0m3.972s,858
Sep17_2020-07,login1,33,194.7,199,47.4,44,920,0m0.003s,0m3.854s,856
Sep17_2020-08,login1,34,218.09,233,810.5,53,972,0m0.003s,0m3.891s,857
Sep17_2020-09,login1,40,213.32,247,15.8,67,1495,0m0.003s,0m3.945s,857
Sep17_2020-10,login1,44,219.47,255,27.8,67,1133,0m0.003s,0m3.899s,857
Sep17_2020-11,login1,55,236.5,312,31.7,75,1129,0m0.003s,0m3.923s,857
Sep17_2020-12,login1,55,247.73,345,968.5,66,1201,0m0.003s,0m3.950s,857
Sep17_2020-13,login1,64,251.8,373,140.0,77,1151,0m0.004s,0m4.577s,856
Sep17_2020-14,login1,63,264.19,1019,1556.0,81,1179,0m0.004s,0m4.570s,858
Sep17_2020-15,login1,56,255.01,346,130.0,111,1199,0m0.004s,0m3.859s,858
Sep17_2020-16,login1,62,272.26,332,47.5,128,1211,0m0.003s,0m4.398s,858
Sep17_2020-17,login1,60,265.56,352,26.4,102,1234,0m0.003s,0m6.219s,858
Sep17_2020-18,login1,57,267.81,2078,1610.6,90,1228,0m0.004s,0m4.504s,859
Sep17_2020-19,login1,54,260.99,349,31.7,88,1157,0m0.003s,0m3.876s,859
Sep17_2020-20,login1,48,259.82,255,26.3,84,1136,0m0.003s,0m3.890s,858
Sep17_2020-21,login1,46,267.43,279,810.5,92,1094,0m0.004s,0m3.878s,859
Sep17_2020-22,login1,48,276.56,258,26.3,71,1051,0m0.003s,0m3.924s,858
Sep17_2020-23,login1,49,279.27,290,579.1,80,1050,0m0.004s,0m4.176s,858
Sep12_2020-00,login3,38,493.42,394,21.1,91,843,0m0.003s,0m3.929s,868
Sep12_2020-01,login3,36,493.1,388,52.7,69,817,0m0.004s,0m3.860s,866
Sep12_2020-02,login3,36,493.1,386,20.0,67,785,0m0.003s,0m3.860s,866
Sep12_2020-03,login3,34,492.81,382,26.3,69,770,0m0.003s,0m3.901s,867
Sep12_2020-04,login3,33,492.89,378,42.2,63,766,0m0.003s,0m3.919s,867
Sep12_2020-05,login3,33,493.23,377,21.1,61,744,0m0.003s,0m3.857s,866
Sep12_2020-06,login3,33,493.35,381,35.0,61,729,0m0.003s,0m4.009s,867
Sep12_2020-07,login3,33,493.15,378,14.3,58,720,0m0.003s,0m3.845s,867
Sep12_2020-08,login3,33,493.13,376,20.0,53,704,0m0.003s,0m3.837s,867
Sep12_2020-09,login3,33,493.17,378,15.8,61,701,0m0.004s,0m3.856s,866
Sep12_2020-10,login3,32,492.75,379,26.3,60,696,0m0.004s,0m3.902s,866
Sep12_2020-11,login3,32,493.42,387,126.3,169,837,0m0.003s,0m3.964s,865
Sep12_2020-12,login3,30,494.26,379,225.0,78,806,0m0.004s,0m3.942s,865
Sep12_2020-13,login3,30,494.38,375,110.0,49,707,0m0.003s,0m3.926s,865
Sep12_2020-14,login3,30,494.14,369,30.0,27,673,0m0.003s,0m3.920s,864
Sep12_2020-15,login3,30,494.73,380,150.0,9,669,0m0.003s,0m3.884s,864
Sep12_2020-16,login3,30,494.23,371,58.0,58,660,0m0.003s,0m3.952s,864
Sep12_2020-17,login3,30,501.08,389,220.0,55,701,0m0.003s,0m3.879s,864
Sep12_2020-18,login3,30,500.43,361,35.0,33,706,0m0.003s,0m3.877s,864
Sep12_2020-19,login3,30,494.79,390,395.0,47,653,0m0.004s,0m4.868s,864
Sep12_2020-20,login3,31,496.4,375,221.1,51,652,0m0.004s,0m3.877s,864
Sep12_2020-21,login3,30,495.08,375,126.4,59,649,0m0.003s,0m3.922s,865
Sep12_2020-22,login3,29,495.07,372,110.0,62,635,0m0.003s,0m3.906s,864
Sep12_2020-23,login3,31,495.46,375,20.0,81,700,0m0.003s,0m3.901s,864
Sep17_2020-00,login5,48,200.02,272,115.8,53,1079,0m0.004s,0m4.219s,857
Sep17_2020-01,login5,48,198.45,263,22.2,51,1150,0m0.003s,0m3.873s,857
Sep17_2020-02,login5,46,198.92,251,10.5,53,1111,0m0.003s,0m3.867s,857
Sep17_2020-03,login5,45,199.09,241,105.3,70,1095,0m0.003s,0m3.890s,857
Sep17_2020-04,login5,42,203.56,233,16.7,59,990,0m0.003s,0m3.868s,858
Sep17_2020-05,login5,42,203.72,237,116.7,37,930,0m0.003s,0m3.882s,858
Sep17_2020-06,login5,43,204.17,234,31.6,42,923,0m0.003s,0m3.861s,858
Sep17_2020-07,login5,41,204.47,230,31.6,41,923,0m0.003s,0m3.896s,856
Sep17_2020-08,login5,41,231.45,234,121.1,63,1013,0m0.003s,0m3.992s,856
Sep17_2020-09,login5,39,228.09,234,131.6,67,1447,0m0.003s,0m4.026s,857
Sep17_2020-10,login5,50,234.7,274,210.5,67,1149,0m0.003s,0m4.399s,857
Sep17_2020-11,login5,48,233.01,284,457.9,80,1134,0m0.004s,0m3.893s,857
Sep17_2020-12,login5,52,237.8,290,57.9,64,1193,0m0.003s,0m3.899s,857
Sep17_2020-13,login5,59,236.14,341,73.7,92,1189,0m0.003s,0m3.946s,857
Sep17_2020-14,login5,66,252.99,330,73.7,83,1147,0m0.003s,0m3.890s,858
Sep17_2020-15,login5,67,254.38,334,179.0,119,1193,0m0.003s,0m4.678s,858
Sep17_2020-16,login5,74,262.86,347,21.1,95,1208,0m0.004s,0m3.931s,858
Sep17_2020-17,login5,88,274.74,380,26.4,101,1215,0m0.003s,0m3.894s,858
Sep17_2020-18,login5,82,274.38,364,75.0,91,1212,0m0.004s,0m3.964s,858
Sep17_2020-19,login5,77,272.95,347,115.8,89,1151,0m0.004s,0m3.902s,859
Sep17_2020-20,login5,70,270.65,329,273.7,85,1134,0m0.004s,0m3.931s,858
Sep17_2020-21,login5,65,264.24,311,321.1,91,1091,0m0.004s,0m3.932s,858
Sep17_2020-22,login5,58,262.63,289,226.4,71,1059,0m0.004s,0m4.347s,858
Sep17_2020-23,login5,55,272.5,294,310.5,82,1041,0m0.004s,0m3.994s,776
Sep23_2020-00,login5,62,388.13,402,115.8,82,1074,0m0.004s,0m3.966s,495
Sep23_2020-01,login5,58,389.18,395,25.0,87,993,0m0.004s,0m4.163s,495
Sep23_2020-02,login5,52,393.87,424,820.0,79,985,0m0.004s,0m3.906s,495
Sep23_2020-03,login5,45,385.56,348,21.1,73,1007,0m0.004s,0m3.872s,494
Sep23_2020-04,login5,47,397.3,384,821.1,69,1003,0m0.004s,0m3.927s,495
Sep23_2020-05,login5,43,393.19,344,21.1,87,993,0m0.004s,0m3.916s,496
Sep23_2020-06,login5,40,392.89,346,68.5,85,948,0m0.004s,0m3.971s,496
Sep23_2020-07,login5,40,392.76,340,21.1,96,928,0m0.004s,0m3.897s,496
Sep23_2020-08,login5,48,402.08,359,90.0,96,929,0m0.004s,0m3.908s,862
Sep23_2020-09,login5,58,403.8,379,21.1,105,946,0m0.004s,0m3.916s,862
Sep23_2020-10,login5,69,405.88,420,130.0,109,993,0m0.004s,0m3.993s,491
Sep23_2020-11,login5,77,411.0,477,125.0,115,990,0m0.004s,0m3.899s,492
Sep23_2020-12,login5,84,414.03,516,130.0,110,970,0m0.004s,0m3.924s,495
Sep23_2020-13,login5,91,427.21,527,209.5,126,1009,0m0.004s,0m3.973s,495
Sep23_2020-14,login5,93,441.72,536,123.8,138,1116,0m0.004s,0m3.938s,495
Sep23_2020-15,login5,92,441.47,547,230.0,214,1279,0m0.004s,0m3.904s,494
Sep23_2020-16,login5,89,442.96,497,909.5,224,1194,0m0.004s,0m4.046s,495
Sep23_2020-17,login5,87,440.26,485,135.0,121,1150,0m0.004s,0m4.196s,495
Sep23_2020-18,login5,82,445.55,434,130.0,99,1021,0m0.004s,0m3.884s,496
Sep23_2020-19,login5,76,443.45,425,105.3,114,983,0m0.004s,0m3.926s,496
Sep23_2020-20,login5,72,459.51,442,268.5,115,967,0m0.005s,0m3.886s,496
Sep23_2020-21,login5,68,458.06,435,252.7,95,946,0m0.004s,0m4.037s,497
Sep23_2020-22,login5,64,456.86,424,200.0,104,932,0m0.004s,0m3.901s,496
Sep23_2020-23,login5,59,455.09,390,21.1,101,914,0m0.004s,0m4.049s,496
Sep25_2020-00,login3,49,416.11,318,36.8,80,1172,0m0.004s,0m3.918s,864
Sep25_2020-01,login3,49,416.14,316,63.3,73,1154,0m0.004s,0m3.973s,864
Sep25_2020-02,login3,47,418.4,281,57.9,61,1117,0m0.004s,0m3.899s,863
Sep25_2020-03,login3,47,418.47,275,15.8,56,1044,0m0.004s,0m4.454s,863
Sep25_2020-04,login3,46,417.94,269,26.3,60,1023,0m0.004s,0m3.898s,863
Sep25_2020-05,login3,48,417.78,274,66.7,72,1016,0m0.004s,0m3.883s,863
Sep25_2020-06,login3,50,417.98,279,36.9,71,999,0m0.004s,0m6.404s,863
Sep25_2020-07,login3,49,417.89,276,52.6,67,1078,0m0.004s,0m3.899s,863
Sep25_2020-08,login3,54,419.68,292,21.1,78,1070,0m0.004s,0m3.895s,862
Sep25_2020-09,login3,62,422.02,324,21.1,80,1112,0m0.004s,0m3.904s,862
Sep25_2020-10,login3,60,424.08,335,121.1,94,1167,0m0.004s,0m3.971s,861
Sep25_2020-11,login3,63,426.22,334,226.4,104,1217,0m0.004s,0m3.913s,863
Sep25_2020-12,login3,65,431.46,345,79.0,93,1202,0m0.004s,0m3.925s,864
Sep25_2020-13,login3,69,432.34,356,185.0,96,1192,0m0.004s,0m3.910s,865
Sep25_2020-14,login3,71,440.56,365,20.0,89,1303,0m0.004s,0m3.954s,864
Sep25_2020-15,login3,77,445.16,383,190.0,101,1682,0m0.004s,0m3.898s,778
Sep25_2020-16,login3,82,446.47,400,120.0,97,1421,0m0.004s,0m3.869s,777
Sep25_2020-17,login3,80,447.93,387,31.6,123,1361,0m0.004s,0m3.957s,777
Sep25_2020-18,login3,73,445.59,368,130.0,118,1336,0m0.004s,0m3.998s,778
Sep25_2020-19,login3,70,444.68,357,70.0,101,1401,0m0.004s,0m3.912s,778
Sep25_2020-20,login3,69,444.56,354,68.5,104,1324,0m0.004s,0m3.958s,777
Sep25_2020-21,login3,68,445.67,367,21.1,109,1323,0m0.004s,0m3.890s,777
Sep25_2020-22,login3,61,444.15,352,73.8,120,1316,0m0.004s,0m4.355s,779
Sep25_2020-23,login3,58,443.64,328,150.0,107,1320,0m0.004s,0m3.875s,779
Sep01_2020-00,login5,67,482.31,507,70.0,84,883,0m0.004s,0m3.903s,783
Sep01_2020-01,login5,63,481.46,496,125.0,76,838,0m0.004s,0m3.985s,780
Sep01_2020-02,login5,60,480.88,484,114.2,74,830,0m0.004s,0m3.891s,780
Sep01_2020-03,login5,54,479.78,460,94.7,47,825,0m0.004s,0m4.014s,780
Sep01_2020-04,login5,51,476.77,450,185.0,42,735,0m0.004s,0m4.020s,780
Sep01_2020-05,login5,53,477.09,458,70.0,29,716,0m0.004s,0m3.906s,780
Sep01_2020-06,login5,51,476.74,454,66.7,31,728,0m0.005s,0m3.917s,780
Sep01_2020-07,login5,54,478.78,473,105.2,27,818,0m0.004s,0m3.977s,780
Sep01_2020-08,login5,56,477.59,476,115.0,23,808,0m0.004s,0m4.440s,780
Sep01_2020-09,login5,60,484.02,540,1160.0,29,806,0m0.006s,0m4.043s,780
Sep01_2020-10,login5,63,487.14,517,355.0,35,934,0m0.006s,0m4.020s,780
Sep01_2020-11,login5,73,488.83,530,130.0,35,914,0m0.004s,0m3.880s,779
Sep01_2020-12,login5,78,489.9,544,145.0,29,991,0m0.004s,0m3.917s,780
Sep01_2020-13,login5,88,496.97,602,25.0,33,988,0m0.004s,0m3.843s,781
Sep01_2020-14,login5,84,493.51,587,161.8,38,1006,0m0.004s,0m3.923s,781
Sep01_2020-15,login5,82,480.17,573,35.0,80,1091,0m0.004s,0m3.900s,413
Sep01_2020-16,login5,87,486.69,583,55.0,136,1055,0m0.004s,0m3.916s,495
Sep01_2020-17,login5,82,480.78,595,325.0,115,1076,0m0.004s,0m4.206s,495
Sep01_2020-18,login5,76,490.07,588,345.0,94,952,0m0.005s,0m3.910s,496
Sep01_2020-19,login5,71,482.71,505,120.0,85,949,0m0.004s,0m3.940s,495
Sep01_2020-20,login5,73,480.84,550,150.0,74,954,0m0.004s,0m3.955s,495
Sep01_2020-21,login5,68,480.0,537,125.0,79,962,0m0.004s,0m4.421s,495
Sep01_2020-22,login5,75,481.62,562,140.0,80,1011,0m0.004s,0m3.956s,496
Sep01_2020-23,login5,71,480.72,557,140.0,81,1034,0m0.004s,0m4.153s,496
Sep23_2020-00,login4,53,380.95,326,15.8,83,1074,0m0.004s,0m3.978s,864
Sep23_2020-01,login4,50,383.28,318,47.4,88,994,0m0.003s,0m4.000s,864
Sep23_2020-02,login4,47,383.54,304,15.8,80,985,0m0.004s,0m3.861s,864
Sep23_2020-03,login4,46,385.01,313,415.7,73,1008,0m0.003s,0m3.919s,863
Sep23_2020-04,login4,44,383.84,271,31.6,67,1003,0m0.003s,0m3.868s,863
Sep23_2020-05,login4,43,383.49,266,26.3,88,994,0m0.004s,0m3.919s,863
Sep23_2020-06,login4,42,383.7,266,26.3,85,950,0m0.003s,0m3.862s,863
Sep23_2020-07,login4,45,385.58,274,26.3,92,927,0m0.003s,0m3.875s,863
Sep23_2020-08,login4,48,389.38,288,21.1,93,927,0m0.004s,0m3.891s,863
Sep23_2020-09,login4,55,392.83,320,26.4,107,945,0m0.004s,0m3.931s,863
Sep23_2020-10,login4,59,430.64,336,58.0,109,994,0m0.004s,0m3.958s,862
Sep23_2020-11,login4,57,383.47,337,15.0,113,988,0m0.004s,0m4.224s,863
Sep23_2020-12,login4,71,380.41,382,121.1,111,970,0m0.004s,0m3.839s,862
Sep23_2020-13,login4,74,380.84,382,20.0,128,1010,0m0.003s,0m3.859s,862
